,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
FR_Start,GMT,23:32:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:32:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude,-0.3051181107,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027338087558746338,0.027338087558746338,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.027474472299218178,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02717301808297634,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.02709200233221054,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027198733761906624,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.027165601029992104,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.026844626292586327,0.027002593502402306,0.027002593502402306,0.027002593502402306
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:32:02,23:32:03,23:32:03,23:32:03,23:32:03,23:32:04,23:32:04,23:32:04,23:32:04,23:32:05,23:32:05,23:32:05,23:32:05,23:32:06,23:32:06,23:32:06,23:32:06,23:32:07,23:32:07,23:32:07,23:32:07,23:32:08,23:32:08,23:32:08,23:32:08,23:32:09,23:32:09,23:32:09,23:32:09,23:32:10,23:32:10,23:32:10,23:32:10,23:32:11,23:32:11,23:32:11,23:32:11,23:32:12,23:32:12,23:32:12,23:32:12,23:32:13,23:32:13,23:32:13,23:32:13,23:32:14,23:32:14,23:32:14,23:32:14,23:32:15,23:32:15,23:32:15,23:32:15,23:32:16,23:32:16
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
