,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:55:48,22:55:48,22:55:48,22:55:49,22:55:49,22:55:49,22:55:49,22:55:50,22:55:50,22:55:50,22:55:50,22:55:51,22:55:51,22:55:51,22:55:51,22:55:52,22:55:52,22:55:52,22:55:52,22:55:53,22:55:53,22:55:53,22:55:53,22:55:54,22:55:54,22:55:54,22:55:54,22:55:55,22:55:55,22:55:55,22:55:55,22:55:56,22:55:56,22:55:56
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
