,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
FR_Start,GMT,23:14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8677978515625,998.8624267578125,998.847412109375,998.8884887695312,998.8897705078125,998.854248046875,998.8489379882812,998.84326171875,998.8514404296875,998.8787231445312,998.87255859375,998.8436279296875,998.8505249023438,998.8699951171875,998.8856811523438,998.8471069335938,998.8555297851562,998.8681030273438,998.8561401367188,998.8546142578125,998.8565673828125,998.8872680664062,998.8809814453125,998.8527221679688,998.8740234375,998.8489379882812,998.8652954101562,998.8486328125,998.85498046875,998.8668823242188,998.864990234375,998.8589477539062,998.8696899414062,998.84521484375,998.84521484375,998.8696899414062,998.854248046875,998.8865966796875,998.8448486328125,998.8715209960938,998.8815307617188,998.8790893554688,998.8787231445312,998.8681030273438,998.8605346679688,998.854248046875,998.8734130859375,998.8671875,998.8599853515625,998.8514404296875,998.8624267578125,998.846435546875,998.8483276367188,998.857421875,998.8844604492188,998.8483276367188,998.8627319335938,998.8511352539062,998.8568725585938,998.8555297851562,998.8615112304688,998.8627319335938,998.8442993164062,998.885986328125,998.8712158203125,998.8743286132812,998.8815307617188,998.872802734375,998.8775634765625,998.8505249023438,998.8712158203125,998.8790893554688,998.85498046875,998.8656005859375,998.8646850585938,998.8615112304688,998.885986328125,998.875,998.868408203125,998.8856811523438,998.8803100585938,998.882568359375,998.8815307617188,998.8637084960938,998.8483276367188,998.8787231445312,998.8790893554688,998.8448486328125,998.8637084960938,998.8743286132812,998.8568725585938,998.8850708007812,998.875,998.8637084960938,998.8436279296875,998.8721923828125,998.8759765625,998.8571166992188,998.8634033203125,998.864013671875,998.8737182617188,998.8442993164062,998.84326171875,998.8615112304688,998.8571166992188,998.8822631835938,998.8605346679688,998.8856811523438,998.8589477539062,998.8577270507812,998.8753051757812,998.857421875,998.882568359375,998.8668823242188,998.8765258789062,998.872802734375,998.8850708007812,998.885986328125,998.885986328125,998.8502197265625,998.872802734375,998.8787231445312,998.8831787109375,998.8477172851562,998.8568725585938,998.8634033203125,998.8822631835938,998.8768310546875,998.8703002929688,998.8668823242188,998.8461303710938,998.8715209960938,998.8853759765625,998.8605346679688,998.8658447265625,998.8489379882812,998.8850708007812,998.849609375,998.8834228515625,998.8583984375,998.8565673828125,998.8840942382812,998.8768310546875,998.8599853515625,998.8442993164062,998.8768310546875,998.884765625,998.8681030273438,998.8731079101562,998.8480224609375,998.8536376953125,998.8737182617188,998.8546142578125,998.8753051757812,998.8646850585938,998.8514404296875,998.8759765625,998.84326171875,998.872802734375,998.87841796875,998.8740234375,998.8646850585938,998.8580932617188,998.8637084960938,998.85498046875,998.8668823242188,998.8446044921875,998.8731079101562,998.8775634765625,998.8803100585938,998.8527221679688,998.8493041992188,998.8511352539062,998.8775634765625,998.8703002929688,998.884765625,998.8794555664062,998.8630981445312,998.843017578125,998.8687133789062,998.8615112304688,998.8743286132812,998.8753051757812,998.8778686523438,998.8577270507812,998.87841796875,998.8850708007812,998.8658447265625,998.8815307617188,998.8740234375,998.8887939453125,998.8634033203125,998.8681030273438,998.8677978515625,998.87060546875,998.8709106445312,998.8734130859375
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.0262467192,-0.0262467192,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2427821526,-0.2427821526,-0.2427821526,-0.2559055122,-0.2559055122,-0.2559055122,-0.2657480319,-0.2657480319,-0.2657480319,-0.2657480319,-0.2755905516,-0.2755905516,-0.2755905516,-0.2887139112,-0.2887139112,-0.2887139112,-0.2887139112,-0.3083989506,-0.3083989506,-0.3083989506,-0.32480315010000005,-0.32480315010000005,-0.32480315010000005,-0.3412073496,-0.3412073496,-0.3412073496,-0.3412073496,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.36417322890000003,-0.36417322890000003,-0.36417322890000003,-0.36417322890000003,-0.36417322890000003,-0.37073490870000003,-0.37073490870000003,-0.37073490870000003,-0.37729658850000003,-0.37729658850000003,-0.37729658850000003,-0.37729658850000003,-0.3838582683,-0.3838582683,-0.3838582683,-0.3904199481,-0.3904199481,-0.3904199481,-0.3969816279,-0.3969816279,-0.3969816279,-0.3969816279,-0.3969816279,-0.4068241476,-0.4068241476,-0.4068241476,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4166666673,-0.4166666673,-0.4166666673,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.426509187,-0.426509187,-0.426509187,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006,-0.43963254660000006,-0.43963254660000006,-0.43963254660000006,-0.44947506630000006,-0.44947506630000006,-0.44947506630000006,-0.44947506630000006,-0.4625984259,-0.4625984259,-0.4625984259,-0.4625984259,-0.4790026254,-0.4790026254,-0.4790026254,-0.4790026254,-0.4954068249,-0.4954068249,-0.4954068249,-0.5085301845,-0.5085301845,-0.5085301845,-0.5183727042,-0.5183727042,-0.5183727042,-0.5183727042,-0.524934384,-0.524934384,-0.524934384,-0.5347769037000001,-0.5347769037000001,-0.5347769037000001,-0.5347769037000001,-0.5347769037000001,-0.5413385835000001,-0.5413385835000001,-0.5413385835000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5511811032,-0.5511811032,-0.5511811032,-0.5511811032,-0.5511811032,-0.5511811032,-0.5511811032,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5446194234,-0.5446194234,-0.5446194234,-0.5446194234,-0.5446194234,-0.5446194234,-0.5446194234,-0.5446194234,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027847807854413986,0.027847807854413986,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.02764623984694481,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027623457834124565,0.027773935347795486,0.027773935347795486,0.027773935347795486,0.027773935347795486,0.027773935347795486,0.027773935347795486,0.02764507196843624,0.02764507196843624,0.02764507196843624,0.02764507196843624,0.02764507196843624,0.02764507196843624,0.02764507196843624,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027617286890745163,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027604710310697556,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027766212821006775,0.027916783466935158,0.027916783466935158,0.027916783466935158,0.02757139876484871,0.02757139876484871,0.02757139876484871,0.027821822091937065,0.027821822091937065,0.027821822091937065,0.027821822091937065,0.027582578361034393,0.027582578361034393,0.027582578361034393,0.027817193418741226,0.027817193418741226,0.027817193418741226,0.027817193418741226,0.0276357289403677,0.0276357289403677,0.0276357289403677,0.02782914601266384,0.02782914601266384,0.02782914601266384,0.02782914601266384,0.02758186124265194,0.02758186124265194,0.02758186124265194,0.027738837525248528,0.027738837525248528,0.027738837525248528,0.027500174939632416,0.027500174939632416,0.027500174939632416,0.027500174939632416,0.027500174939632416,0.02773219533264637,0.02773219533264637,0.02773219533264637,0.027305176481604576,0.027305176481604576,0.027305176481604576,0.027305176481604576,0.02752816118299961,0.02752816118299961,0.02752816118299961,0.027279971167445183,0.027279971167445183,0.027279971167445183,0.0274933073669672,0.0274933073669672,0.0274933073669672,0.0274933073669672,0.0274933073669672,0.02728603594005108,0.02728603594005108,0.02728603594005108,0.027416689321398735,0.027416689321398735,0.027416689321398735,0.027416689321398735,0.02717617340385914,0.02717617340385914,0.02717617340385914,0.02740607038140297,0.02740607038140297,0.02740607038140297,0.027183620259165764,0.027183620259165764,0.027183620259165764,0.027183620259165764,0.027183620259165764,0.027412930503487587,0.027412930503487587,0.027412930503487587,0.02722288854420185,0.02722288854420185,0.02722288854420185,0.02722288854420185,0.02743789553642273,0.02743789553642273,0.02743789553642273,0.027286455035209656,0.027286455035209656,0.027286455035209656,0.027286455035209656,0.02753104828298092,0.02753104828298092,0.02753104828298092,0.02753104828298092,0.02730613574385643,0.02730613574385643,0.02730613574385643,0.02730613574385643,0.027521388605237007,0.027521388605237007,0.027521388605237007,0.0273143220692873,0.0273143220692873,0.0273143220692873,0.027537696063518524,0.027537696063518524,0.027537696063518524,0.027537696063518524,0.027322307229042053,0.027322307229042053,0.027322307229042053,0.027562983334064484,0.027562983334064484,0.027562983334064484,0.027562983334064484,0.027562983334064484,0.027163131162524223,0.027163131162524223,0.027163131162524223,0.027439720928668976,0.027439720928668976,0.027439720928668976,0.027439720928668976,0.027141837403178215,0.027141837403178215,0.027141837403178215,0.02738426998257637,0.02738426998257637,0.02738426998257637,0.02738426998257637,0.027232270687818527,0.027232270687818527,0.027232270687818527,0.027459245175123215,0.027459245175123215,0.027459245175123215,0.027459245175123215,0.027459245175123215,0.027285784482955933,0.027285784482955933,0.027285784482955933,0.027448348701000214,0.027448348701000214,0.027448348701000214
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:14:41,23:14:41,23:14:41,23:14:42,23:14:42,23:14:42,23:14:42,23:14:43,23:14:43,23:14:43,23:14:43,23:14:44,23:14:44,23:14:44,23:14:44,23:14:45,23:14:45,23:14:45,23:14:45,23:14:45,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:46,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:47,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:48,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:49,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:50,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:51,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:52,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:53,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:54,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:55,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:56,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:57,23:14:58,23:14:58,23:14:58,23:14:58,23:14:59,23:14:59,23:14:59,23:14:59,23:15:00,23:15:00,23:15:00,23:15:00,23:15:01,23:15:01,23:15:01,23:15:01,23:15:02,23:15:02,23:15:02,23:15:02,23:15:03,23:15:03,23:15:03,23:15:03,23:15:04,23:15:04,23:15:04,23:15:04,23:15:05,23:15:05,23:15:05,23:15:05,23:15:06,23:15:06,23:15:06,23:15:06,23:15:07,23:15:07,23:15:07,23:15:07,23:15:08,23:15:08,23:15:08,23:15:08,23:15:09,23:15:09,23:15:09,23:15:09,23:15:10,23:15:10,23:15:10,23:15:10,23:15:11,23:15:11,23:15:11,23:15:11,23:15:12
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
