,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
FR_Start,GMT,23:08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:08:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,0.027562294155359268,0.027697697281837463,0.027697697281837463,0.027697697281837463,0.027697697281837463,0.027697697281837463,0.027697697281837463,0.027697697281837463,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027808411046862602,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027470888569951057,0.027443647384643555,0.027443647384643555,0.027443647384643555,0.027443647384643555,0.027443647384643555,0.027443647384643555,0.027443647384643555,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027460066601634026,0.027348093688488007,0.027348093688488007,0.027348093688488007,0.027348093688488007,0.027348093688488007,0.027348093688488007
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:08:20,23:08:20,23:08:20,23:08:21,23:08:21,23:08:21,23:08:21,23:08:22,23:08:22,23:08:22,23:08:22,23:08:23,23:08:23,23:08:23,23:08:23,23:08:24,23:08:24,23:08:24,23:08:24,23:08:25,23:08:25,23:08:25,23:08:25,23:08:25,23:08:25,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:26,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:27,23:08:28
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
