,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
FR_Start,GMT,22:05:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:05:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8897705078125,998.8790893554688,998.8599853515625,998.8511352539062,998.875,998.8800048828125,998.8611450195312,998.8618774414062,998.8674926757812,998.8446044921875,998.8439331054688,998.8806762695312,998.8546142578125,998.86083984375,998.8834228515625,998.846435546875,998.8872680664062,998.8611450195312,998.8446044921875,998.8844604492188,998.8615112304688,998.8546142578125,998.8696899414062,998.8759765625,998.855224609375,998.8803100585938,998.872802734375,998.8652954101562,998.8687133789062,998.8690185546875,998.8834228515625,998.8471069335938,998.8521118164062,998.8577270507812,998.8746948242188,998.8703002929688,998.8765258789062,998.872802734375,998.8800048828125,998.8778686523438,998.8690185546875,998.8627319335938,998.8656005859375,998.8605346679688,998.871826171875,998.8483276367188,998.8696899414062,998.8561401367188,998.8561401367188,998.8455200195312,998.8630981445312,998.8715209960938,998.8524169921875,998.8756103515625,998.889404296875,998.87841796875,998.8746948242188,998.858642578125,998.8642578125,998.8627319335938,998.875,998.8580932617188,998.8637084960938,998.8681030273438,998.8690185546875,998.8853759765625,998.8621826171875,998.8806762695312,998.8693237304688,998.8489379882812,998.8850708007812,998.8759765625,998.8712158203125,998.8561401367188,998.871826171875,998.8589477539062,998.8668823242188,998.8878784179688,998.8483276367188,998.8797607421875,998.8499145507812,998.8461303710938,998.8652954101562,998.8471069335938,998.850830078125,998.8803100585938,998.8674926757812,998.8505249023438,998.8480224609375,998.8862915039062,998.8480224609375,998.8436279296875,998.864013671875,998.8668823242188,998.8837890625,998.8493041992188,998.8721923828125,998.876220703125,998.8803100585938,998.8662109375,998.868408203125,998.875,998.885986328125,998.8862915039062,998.8721923828125,998.864013671875,998.8765258789062,998.857421875,998.8734130859375,998.8803100585938,998.885986328125,998.8502197265625,998.8831787109375,998.8715209960938,998.8561401367188,998.8872680664062,998.8840942382812,998.8461303710938,998.8712158203125,998.8483276367188
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.17716535460000002,-0.22309711320000003,-0.22309711320000003,-0.22637795310000003,-0.22637795310000003,-0.2493438324,-0.2493438324,-0.2493438324,-0.2854330713,-0.2854330713,-0.2887139112,-0.2887139112,-0.2887139112,-0.2887139112,-0.2887139112,-0.2887139112,-0.2919947511,-0.2919947511,-0.3116797905,-0.3116797905,-0.3116797905,-0.3346456698,-0.3346456698,-0.1246719162,-0.1246719162,-0.1246719162,-0.0492125985,-0.0492125985,-0.0492125985,-0.0131233596,-0.0131233596,-0.0098425197,-0.0098425197,-0.0098425197,-0.0131233596,-0.0131233596,0.0,0.0,0.0,0.0032808399,0.0032808399,0.0131233596,0.0131233596,0.0131233596,0.0196850394,0.0196850394,0.0524934384,0.0524934384,0.0524934384,0.08858267730000001,0.098425197,0.11154855660000002,0.1246719162,0.131233596,0.131233596,0.131233596,0.131233596,0.1541994753,0.1541994753,0.1574803152,0.1574803152,0.1574803152,0.1574803152,0.1574803152,0.1574803152,0.1509186354,0.1509186354,0.1574803152,0.1574803152,0.1574803152,0.1706036748,0.1706036748,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.17716535460000002,0.17716535460000002,0.17716535460000002,0.17716535460000002,0.17716535460000002,0.1738845147,0.1738845147,0.1738845147,0.05577427830000001,0.05577427830000001,0.0065616798,0.0065616798,0.0065616798,-0.0164041995,-0.0164041995,-0.0164041995,-0.0196850394,-0.0196850394,-0.032808399,-0.032808399,-0.032808399,-0.0393700788,-0.0393700788,-0.0393700788,-0.0295275591,-0.0295275591,-0.032808399,-0.032808399,-0.032808399,-0.0360892389,-0.0360892389,-0.032808399,-0.032808399,-0.032808399,-0.0196850394,-0.0196850394,-0.0164041995,-0.0164041995,-0.0164041995,-0.0065616798,-0.0065616798,0.0032808399,0.0032808399
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.018928876146674156,0.019871188327670097,0.019871188327670097,0.019840218126773834,0.019840218126773834,0.01994273252785206,0.01994273252785206,0.01994273252785206,0.020135169848799706,0.020135169848799706,0.02042502351105213,0.02042502351105213,0.02042502351105213,0.020294778048992157,0.020294778048992157,0.020294778048992157,0.020383615046739578,0.020383615046739578,0.020472656935453415,0.020472656935453415,0.020472656935453415,0.02069028466939926,0.02069028466939926,0.020672205835580826,0.020672205835580826,0.020672205835580826,0.020670680329203606,0.020670680329203606,0.020670680329203606,0.0209201667457819,0.0209201667457819,0.02112981118261814,0.02112981118261814,0.02112981118261814,0.020993543788790703,0.020993543788790703,0.02110891044139862,0.02110891044139862,0.02110891044139862,0.021315598860383034,0.021315598860383034,0.021568454802036285,0.021568454802036285,0.021568454802036285,0.021506410092115402,0.021506410092115402,0.021522879600524902,0.021522879600524902,0.021522879600524902,0.021653348580002785,0.021584466099739075,0.02168067917227745,0.021649543195962906,0.021726664155721664,0.021726664155721664,0.021726664155721664,0.021726664155721664,0.021762756630778313,0.021762756630778313,0.021983573213219643,0.021983573213219643,0.021983573213219643,0.021991536021232605,0.021991536021232605,0.021991536021232605,0.022068927064538002,0.022068927064538002,0.022160455584526062,0.022160455584526062,0.022160455584526062,0.02234342321753502,0.02234342321753502,0.022606104612350464,0.022606104612350464,0.022606104612350464,0.022508151829242706,0.022508151829242706,0.02265016734600067,0.02265016734600067,0.02265016734600067,0.022903721779584885,0.022903721779584885,0.022871358320116997,0.022871358320116997,0.022871358320116997,0.023002667352557182,0.023002667352557182,0.023148158565163612,0.023148158565163612,0.023148158565163612,0.02334059216082096,0.02334059216082096,0.02334059216082096,0.023525817319750786,0.023525817319750786,0.023244675248861313,0.023244675248861313,0.023244675248861313,0.02334987185895443,0.02334987185895443,0.02334987185895443,0.023561587557196617,0.023561587557196617,0.023554570972919464,0.023554570972919464,0.023554570972919464,0.023521099239587784,0.023521099239587784,0.023602565750479698,0.023602565750479698,0.023602565750479698,0.023859571665525436,0.023859571665525436,0.02406121790409088,0.02406121790409088,0.02406121790409088,0.023868560791015625,0.023868560791015625,0.023866258561611176,0.023866258561611176
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:05:07,22:05:08,22:05:08,22:05:08,22:05:08,22:05:09,22:05:09,22:05:09,22:05:09,22:05:10,22:05:10,22:05:10,22:05:10,22:05:11,22:05:11,22:05:11,22:05:11,22:05:12,22:05:12,22:05:12,22:05:12,22:05:13,22:05:13,22:05:13,22:05:13,22:05:14,22:05:14,22:05:14,22:05:14,22:05:15,22:05:15,22:05:15,22:05:15,22:05:16,22:05:16,22:05:16,22:05:16,22:05:17,22:05:17,22:05:17,22:05:17,22:05:18,22:05:18,22:05:18,22:05:18,22:05:19,22:05:19,22:05:19,22:05:19,22:05:19,22:05:19,22:05:19,22:05:19,22:05:20,22:05:20,22:05:20,22:05:21,22:05:21,22:05:21,22:05:21,22:05:22,22:05:22,22:05:22,22:05:22,22:05:23,22:05:23,22:05:23,22:05:23,22:05:24,22:05:24,22:05:24,22:05:24,22:05:25,22:05:25,22:05:25,22:05:25,22:05:26,22:05:26,22:05:26,22:05:26,22:05:27,22:05:27,22:05:27,22:05:27,22:05:28,22:05:28,22:05:28,22:05:28,22:05:29,22:05:29,22:05:29,22:05:29,22:05:30,22:05:30,22:05:30,22:05:30,22:05:31,22:05:31,22:05:31,22:05:31,22:05:32,22:05:32,22:05:32,22:05:32,22:05:33,22:05:33,22:05:33,22:05:33,22:05:34,22:05:34,22:05:34,22:05:34,22:05:35,22:05:35,22:05:35,22:05:35,22:05:36,22:05:36,22:05:36,22:05:36
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,20/07/2022,"July 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
