,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
FR_Start,GMT,22:35:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:36:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.16404199500000002,0.16404199500000002,0.16404199500000002,0.16404199500000002
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.022937042638659477,0.022937042638659477,0.022937042638659477,0.022937042638659477,0.022937042638659477,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.022760434076189995,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.02258787862956524,0.022722315043210983,0.022722315043210983,0.022722315043210983,0.022722315043210983,0.022722315043210983,0.022722315043210983,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.02299833670258522,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022839125245809555,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022733956575393677,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.022821994498372078,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.023053238168358803,0.02282816916704178,0.02282816916704178,0.02282816916704178,0.02282816916704178
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:35:47,22:35:47,22:35:47,22:35:48,22:35:48,22:35:48,22:35:48,22:35:49,22:35:49,22:35:49,22:35:49,22:35:50,22:35:50,22:35:50,22:35:50,22:35:51,22:35:51,22:35:51,22:35:51,22:35:52,22:35:52,22:35:52,22:35:52,22:35:53,22:35:53,22:35:53,22:35:53,22:35:54,22:35:54,22:35:54,22:35:54,22:35:55,22:35:55,22:35:55,22:35:55,22:35:56,22:35:56,22:35:56,22:35:56,22:35:57,22:35:57,22:35:57,22:35:57,22:35:58,22:35:58,22:35:58,22:35:58,22:35:59,22:35:59,22:35:59,22:35:59,22:36:00,22:36:00,22:36:00,22:36:00,22:36:01,22:36:01,22:36:01,22:36:01,22:36:02,22:36:02,22:36:02,22:36:02,22:36:03,22:36:03,22:36:03,22:36:03,22:36:04,22:36:04,22:36:04,22:36:04,22:36:05,22:36:05,22:36:05
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
