,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
FR_Start,GMT,23:46:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:46:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.85498046875,998.854248046875,998.8527221679688,998.8699951171875,998.8555297851562,998.8734130859375,998.8815307617188,998.8837890625,998.86083984375,998.8589477539062,998.8486328125,998.8778686523438,998.8850708007812,998.8461303710938,998.8668823242188,998.84521484375,998.8514404296875,998.8771362304688,998.876220703125,998.8771362304688,998.87255859375,998.8577270507812,998.8853759765625,998.8837890625,998.8778686523438,998.8794555664062,998.8527221679688,998.8446044921875,998.8806762695312,998.8546142578125,998.87255859375,998.8595581054688,998.8897705078125,998.8514404296875,998.87060546875,998.8828735351562,998.8693237304688,998.847412109375,998.8605346679688,998.8743286132812,998.8536376953125,998.8634033203125,998.8781127929688,998.8840942382812,998.8480224609375,998.8524169921875,998.8458251953125,998.8658447265625,998.8856811523438,998.8703002929688,998.875,998.8577270507812,998.875,998.8884887695312,998.87060546875,998.8677978515625,998.8709106445312,998.8546142578125,998.8822631835938,998.8800048828125,998.8844604492188,998.8778686523438,998.8759765625,998.8740234375,998.86083984375,998.8850708007812,998.8577270507812,998.8618774414062,998.8514404296875,998.8442993164062,998.8568725585938,998.8658447265625,998.8806762695312,998.8533325195312,998.8853759765625,998.8458251953125,998.85498046875,998.858642578125,998.8731079101562,998.8505249023438,998.885986328125,998.8668823242188,998.8746948242188,998.8652954101562,998.8565673828125,998.8787231445312,998.8555297851562,998.85498046875,998.857421875,998.8696899414062,998.8803100585938,998.8493041992188,998.8477172851562,998.8887939453125,998.843017578125,998.8803100585938,998.889404296875,998.8887939453125,998.8865966796875,998.8436279296875,998.858642578125
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.1017060369,-0.1017060369,-0.1017060369,-0.1017060369,-0.1017060369,-0.1017060369,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.09514435710000001,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.098425197,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0754593177,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.0261671282351017,0.0261671282351017,0.0261671282351017,0.0261671282351017,0.0261671282351017,0.0261671282351017,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.025999048724770546,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.02601238153874874,0.026195669546723366,0.026195669546723366,0.026195669546723366,0.026195669546723366,0.026195669546723366,0.026195669546723366,0.026195669546723366,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.026481840759515762,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.02624974399805069,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026175497099757195,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026266474276781082,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026446489617228508,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.026341916993260384,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035,0.02637505531311035
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:46:07,23:46:07,23:46:08,23:46:08,23:46:08,23:46:08,23:46:09,23:46:09,23:46:09,23:46:09,23:46:10,23:46:10,23:46:10,23:46:10,23:46:11,23:46:11,23:46:11,23:46:11,23:46:12,23:46:12,23:46:12,23:46:12,23:46:13,23:46:13,23:46:13,23:46:13,23:46:14,23:46:14,23:46:14,23:46:14,23:46:15,23:46:15,23:46:15,23:46:15,23:46:16,23:46:16,23:46:16,23:46:16,23:46:17,23:46:17,23:46:17,23:46:17,23:46:18,23:46:18,23:46:18,23:46:18,23:46:19,23:46:19,23:46:19,23:46:19,23:46:20,23:46:20,23:46:20,23:46:20,23:46:21,23:46:21,23:46:21,23:46:21,23:46:22,23:46:22,23:46:22,23:46:22,23:46:23,23:46:23,23:46:23,23:46:23,23:46:24,23:46:24,23:46:24,23:46:24,23:46:25,23:46:25,23:46:25,23:46:25,23:46:26,23:46:26,23:46:26,23:46:26,23:46:26,23:46:26,23:46:26,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:27,23:46:28,23:46:28,23:46:28,23:46:28,23:46:28,23:46:28,23:46:29,23:46:29,23:46:29,23:46:29
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
