,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
FR_Start,GMT,23:54:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:54:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.87841796875,998.8589477539062,998.8781127929688,998.8483276367188,998.8687133789062,998.850830078125,998.8656005859375,998.8455200195312,998.8618774414062,998.8734130859375,998.8815307617188,998.8483276367188,998.871826171875,998.8442993164062,998.8787231445312,998.8621826171875,998.8592529296875,998.8756103515625,998.8611450195312,998.889404296875,998.8446044921875,998.868408203125,998.8740234375,998.8681030273438,998.8502197265625,998.8897705078125,998.846435546875,998.8605346679688,998.8831787109375,998.8900756835938,998.8599853515625,998.8850708007812,998.87255859375,998.8815307617188,998.868408203125,998.8753051757812,998.8775634765625,998.8781127929688,998.855224609375,998.8699951171875,998.8900756835938,998.87060546875,998.8605346679688,998.8555297851562,998.8740234375,998.854248046875,998.8630981445312,998.876220703125,998.8890991210938,998.8844604492188,998.864013671875,998.843017578125,998.8737182617188,998.8794555664062,998.8630981445312,998.8555297851562,998.8555297851562,998.8558349609375,998.876220703125,998.8477172851562,998.871826171875,998.8709106445312,998.8822631835938,998.857421875,998.8502197265625,998.8699951171875,998.8806762695312,998.8517456054688,998.8787231445312,998.876220703125,998.876220703125,998.8737182617188,998.8555297851562,998.8483276367188,998.8840942382812,998.857421875,998.8790893554688,998.864013671875,998.885986328125,998.8797607421875,998.8693237304688,998.864990234375,998.8466796875,998.8897705078125,998.847412109375,998.846435546875,998.8897705078125,998.8524169921875,998.8677978515625,998.8646850585938,998.8439331054688,998.882568359375,998.8746948242188,998.8822631835938,998.8781127929688,998.8775634765625,998.8834228515625,998.8831787109375,998.8662109375,998.8809814453125,998.8621826171875,998.8765258789062,998.8765258789062,998.8856811523438,998.8844604492188,998.8621826171875,998.8536376953125,998.8690185546875,998.8771362304688,998.88818359375,998.8765258789062,998.8448486328125,998.854248046875,998.8884887695312,998.8765258789062,998.8577270507812,998.8884887695312,998.8656005859375,998.8489379882812,998.8668823242188
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0131233596,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027641862630844116,0.027641862630844116,0.027641862630844116,0.027641862630844116,0.027641862630844116,0.027641862630844116,0.027452142909169197,0.027452142909169197,0.027452142909169197,0.027452142909169197,0.027452142909169197,0.027452142909169197,0.027452142909169197,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.027435312047600746,0.02757234498858452,0.02757234498858452,0.02757234498858452,0.02757234498858452,0.02757234498858452,0.02757234498858452,0.02757234498858452,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027526305988430977,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.027235735207796097,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02744738571345806,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02769940346479416,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.02790777198970318,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027561593800783157,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027545329183340073,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027680279687047005,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027661295607686043,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546,0.027377182617783546
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:54:26,23:54:27,23:54:27,23:54:27,23:54:27,23:54:28,23:54:28,23:54:28,23:54:28,23:54:29,23:54:29,23:54:29,23:54:29,23:54:30,23:54:30,23:54:30,23:54:30,23:54:31,23:54:31,23:54:31,23:54:31,23:54:32,23:54:32,23:54:32,23:54:32,23:54:33,23:54:33,23:54:33,23:54:33,23:54:34,23:54:34,23:54:34,23:54:34,23:54:35,23:54:35,23:54:35,23:54:35,23:54:36,23:54:36,23:54:36,23:54:36,23:54:37,23:54:37,23:54:37,23:54:37,23:54:38,23:54:38,23:54:38,23:54:38,23:54:39,23:54:39,23:54:39,23:54:39,23:54:40,23:54:40,23:54:40,23:54:40,23:54:40,23:54:40,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:41,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:42,23:54:43,23:54:43,23:54:43,23:54:43,23:54:43,23:54:43,23:54:43,23:54:43,23:54:44,23:54:44,23:54:44,23:54:44,23:54:45,23:54:45,23:54:45,23:54:45,23:54:46,23:54:46,23:54:46,23:54:46,23:54:47,23:54:47,23:54:47,23:54:47,23:54:48,23:54:48,23:54:48,23:54:48,23:54:49,23:54:49,23:54:49,23:54:49,23:54:50,23:54:50,23:54:50,23:54:50,23:54:51,23:54:51,23:54:51,23:54:51,23:54:52
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
