,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
FR_Start,GMT,21:47:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:47:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8499145507812,998.8665161132812,998.8489379882812,998.8642578125,998.8524169921875,998.8884887695312,998.8878784179688,998.88818359375,998.8800048828125,998.8439331054688,998.8493041992188,998.8592529296875,998.871826171875,998.8493041992188,998.8662109375,998.8652954101562,998.8627319335938,998.8493041992188,998.8687133789062,998.8442993164062,998.8665161132812,998.8743286132812,998.8499145507812,998.8458251953125,998.8436279296875,998.871826171875,998.855224609375,998.8853759765625,998.8790893554688,998.8489379882812,998.8900756835938,998.8806762695312,998.8775634765625,998.8446044921875,998.8853759765625,998.8787231445312,998.8803100585938,998.8775634765625,998.8517456054688,998.8646850585938,998.855224609375,998.8822631835938,998.8471069335938,998.8634033203125,998.8856811523438,998.8527221679688,998.8797607421875,998.8834228515625,998.86083984375,998.87255859375,998.868408203125,998.857421875,998.882568359375,998.8605346679688,998.8671875,998.8565673828125,998.8853759765625,998.850830078125,998.884765625,998.8589477539062,998.8621826171875,998.8790893554688,998.8775634765625,998.8668823242188,998.8624267578125,998.8875732421875,998.8455200195312,998.8818359375,998.849609375,998.8546142578125,998.8677978515625,998.8822631835938,998.8589477539062,998.872802734375,998.8642578125,998.8677978515625,998.855224609375,998.8652954101562,998.8677978515625,998.8527221679688,998.8565673828125,998.85302734375,998.8850708007812,998.8493041992188,998.8442993164062,998.84521484375,998.88818359375,998.8630981445312,998.8743286132812,998.8602905273438,998.8493041992188,998.868408203125,998.8844604492188,998.8605346679688,998.847412109375,998.87841796875,998.8627319335938,998.85302734375,998.8511352539062,998.8471069335938,998.8580932617188,998.8850708007812,998.8818359375,998.8756103515625,998.847412109375,998.8533325195312,
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.2919947511,-0.0426509187,-0.0426509187,-0.0623359581,-0.0623359581,-0.0623359581,-0.09514435710000001,-0.09514435710000001,-0.1410761157,-0.1410761157,-0.1410761157,-0.17716535460000002,-0.17716535460000002,-0.17716535460000002,-0.2362204728,-0.2493438324,-0.2493438324,-0.2493438324,-0.2919947511,-0.2919947511,-0.2919947511,-0.3116797905,-0.3116797905,-0.3412073496,-0.3412073496,-0.3412073496,-0.37729658850000003,-0.37729658850000003,-0.37729658850000003,-0.4166666673,-0.4166666673,-0.45603674610000006,-0.45603674610000006,-0.45603674610000006,-0.4822834653,-0.4822834653,-0.5019685047,-0.5019685047,-0.5019685047,-0.5019685047,-0.5019685047,-0.5019685047,-0.5150918643,-0.5150918643,-0.5314960638,-0.5314960638,-0.5314960638,-0.5446194234,-0.5446194234,-0.557742783,-0.557742783,-0.557742783,-0.5643044628,-0.5643044628,-0.4855643052,-0.4855643052,-0.4855643052,-0.1706036748,-0.1706036748,-0.0393700788,-0.0393700788,-0.0393700788,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.065616798,0.065616798,0.1181102364,0.1181102364,0.1181102364,0.1509186354,0.1509186354,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.2493438324,0.2493438324,0.2657480319,0.2657480319,0.2657480319,0.295275591,0.295275591,0.3116797905,0.3116797905,0.3116797905,0.32480315010000005,0.32480315010000005,0.3379265097,0.3379265097,0.3379265097,0.3412073496,0.3412073496,0.3346456698,0.3346456698,0.3346456698,0.3346456698,0.3346456698,0.3346456698,0.3412073496,0.3412073496,0.3477690294,0.3477690294,0.3477690294,0.36745406880000003
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027448048815131187,0.027596332132816315,0.027596332132816315,0.02749456651508808,0.02749456651508808,0.02749456651508808,0.027513442561030388,0.027513442561030388,0.027751222252845764,0.027751222252845764,0.027751222252845764,0.027270803228020668,0.027270803228020668,0.027270803228020668,0.027894433587789536,0.027599921450018883,0.027599921450018883,0.027599921450018883,0.028026143088936806,0.028026143088936806,0.028026143088936806,0.02765093557536602,0.02765093557536602,0.027580272406339645,0.027580272406339645,0.027580272406339645,0.02767314203083515,0.02767314203083515,0.02767314203083515,0.02786891907453537,0.02786891907453537,0.027424398809671402,0.027424398809671402,0.027424398809671402,0.027385288849473,0.027385288849473,0.027767518535256386,0.027767518535256386,0.027767518535256386,0.02800722047686577,0.02800722047686577,0.02800722047686577,0.027661876752972603,0.027661876752972603,0.027614707127213478,0.027614707127213478,0.027614707127213478,0.02773388661444187,0.02773388661444187,0.0278412364423275,0.0278412364423275,0.0278412364423275,0.027310751378536224,0.027310751378536224,0.027240928262472153,0.027240928262472153,0.027240928262472153,0.027534404769539833,0.027534404769539833,0.027672696858644485,0.027672696858644485,0.027672696858644485,0.02744777500629425,0.02744777500629425,0.02744777500629425,0.027380339801311493,0.027380339801311493,0.027479734271764755,0.027479734271764755,0.027479734271764755,0.027682838961482048,0.027682838961482048,0.027432819828391075,0.027432819828391075,0.027432819828391075,0.027246523648500443,0.027246523648500443,0.027246523648500443,0.02743983268737793,0.02743983268737793,0.027848199009895325,0.027848199009895325,0.027848199009895325,0.027572091668844223,0.027572091668844223,0.027576863765716553,0.027576863765716553,0.027576863765716553,0.027598809450864792,0.027598809450864792,0.02780785784125328,0.02780785784125328,0.02780785784125328,0.0274049025028944,0.0274049025028944,0.027101609855890274,0.027101609855890274,0.027101609855890274,0.027255194261670113,0.027255194261670113,0.027255194261670113,0.027594218030571938,0.027594218030571938,0.027304230257868767,0.027304230257868767,0.027304230257868767,0.027237508445978165
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,
Time,21:47:26,21:47:26,21:47:27,21:47:27,21:47:27,21:47:27,21:47:28,21:47:28,21:47:28,21:47:28,21:47:29,21:47:29,21:47:29,21:47:29,21:47:30,21:47:30,21:47:30,21:47:30,21:47:31,21:47:31,21:47:31,21:47:31,21:47:32,21:47:32,21:47:32,21:47:32,21:47:33,21:47:33,21:47:33,21:47:33,21:47:34,21:47:34,21:47:34,21:47:34,21:47:35,21:47:35,21:47:35,21:47:35,21:47:36,21:47:36,21:47:36,21:47:36,21:47:37,21:47:37,21:47:37,21:47:37,21:47:38,21:47:38,21:47:38,21:47:38,21:47:39,21:47:39,21:47:39,21:47:39,21:47:40,21:47:40,21:47:40,21:47:40,21:47:41,21:47:41,21:47:41,21:47:41,21:47:42,21:47:42,21:47:42,21:47:42,21:47:43,21:47:43,21:47:43,21:47:43,21:47:44,21:47:44,21:47:44,21:47:44,21:47:45,21:47:45,21:47:45,21:47:45,21:47:46,21:47:46,21:47:46,21:47:46,21:47:47,21:47:47,21:47:47,21:47:47,21:47:48,21:47:48,21:47:48,21:47:48,21:47:49,21:47:49,21:47:49,21:47:49,21:47:50,21:47:50,21:47:50,21:47:50,21:47:51,21:47:51,21:47:51,21:47:51,21:47:52,21:47:52,21:47:52,21:47:52,21:47:53
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,20/07/2022,"July 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
