,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
FR_Start,GMT,23:55:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:55:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.037495181353903194,-0.036476935337442534,-0.03918339602073608,-0.04574641826967448,-0.05236929510503635,-0.05619777032842767,-0.05561224098051153,-0.05425079892815911,-0.055154670710151274,-0.05624715975795184,-0.05775037183944695,-0.05925402391585987,-0.06013904924887251,-0.059232629162981366,-0.05874721699198857,-0.05877281002970785,-0.057407377467892505,-0.056475303233876825,-0.05718147674384024,-0.055872400197747724,-0.05273885416975357,-0.04787429480260871,-0.0460175712488154,-0.04325679869285468,-0.040781240620283224,-0.04055309714435824,-0.04323616782004182,-0.04382569989950191,-0.04813928785290029,-0.05001370898005441,-0.05298877128306963,-0.05505142468047906,-0.05736594461313207,-0.056597854040567955,-0.05565257995901797,-0.05667787200520411,-0.05706043536415883,-0.056004203119793906,-0.053400820412558135,-0.05007895044870079,-0.049868327325961366,-0.04818584787066132,-0.04879350529631898,-0.04588690192478662,-0.04397221209609211,-0.04302279472906608,-0.04281151772499047,-0.04351750790373814,-0.043392760177978225,-0.0426520165117641,-0.0428767469715558,-0.04328289894693755,-0.043247302135878615,-0.043625046939379256,-0.04425841045700591,-0.04526362773506697,-0.04498574038926736,-0.04410431445912402,-0.04361969977891976,-0.04319129750498599,-0.042519556652861466,-0.04274402128239032,-0.0421750620208581,-0.041723764733596895,-0.04157358591269162,-0.04212819950659107,-0.0428125932681229,-0.042458061252057,-0.04113876399068618,-0.03932056443636334,-0.03704897150787916,-0.03573998357187426,-0.03547710188608412,-0.03627747403022228,-0.03625867646956695,-0.03575987806430385,-0.03409654755448932,-0.0323640095107276,-0.03147566282718955,-0.031683199874463774,-0.03204489403002514,-0.032394616657197756,-0.03224085065550422,-0.03227103308465788,-0.031327497594137305,-0.030401216626539454,-0.02900308999791462,-0.02773438604105143,-0.027407750924982783,-0.027185483214522712,-0.02721208457392864,-0.02616744191791965,-0.02508389179464723,-0.024542018192482553
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8599853515625,998.8539428710938,998.8844604492188,998.8900756835938,998.8471069335938,998.8565673828125,998.8461303710938,998.85498046875,998.872802734375,998.8753051757812,998.8448486328125,998.871826171875,998.8815307617188,998.8759765625,998.8856811523438,998.8505249023438,998.84326171875,998.8818359375,998.8580932617188,998.8693237304688,998.8477172851562,998.8831787109375,998.8668823242188,998.8524169921875,998.8521118164062,998.8592529296875,998.8486328125,998.8815307617188,998.8480224609375,998.8634033203125,998.8486328125,998.8818359375,998.843017578125,998.8771362304688,998.8850708007812,998.8627319335938,998.8583984375,998.8461303710938,998.850830078125,998.854248046875,998.8595581054688,998.8677978515625,998.8546142578125,998.850830078125,998.8740234375,998.8790893554688,998.8853759765625,998.855224609375,998.8595581054688,998.8865966796875,998.8646850585938,998.8665161132812,998.8740234375,998.8822631835938,998.8618774414062,998.8461303710938,998.84521484375,998.882568359375,998.8561401367188,998.8671875,998.8794555664062,998.8517456054688,998.8662109375,998.876220703125,998.8746948242188,998.8768310546875,998.8471069335938,998.849609375,998.8499145507812,998.849609375,998.872802734375,998.8818359375,998.8887939453125,998.8511352539062,998.8536376953125,998.8448486328125,998.8571166992188,998.8809814453125,998.8840942382812,998.8674926757812,998.8765258789062,998.854248046875,998.8731079101562,998.8486328125,998.8634033203125,998.849609375,998.8658447265625,998.882568359375,998.8658447265625,998.8734130859375,998.8442993164062,998.8642578125,998.8703002929688,998.8621826171875
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
