,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
GS,0.027676403522491455,0.027536556124687195,0.027222950011491776,0.027222950011491776,0.027222950011491776,0.02712063677608967,0.02712063677608967,0.027199391275644302,0.027199391275644302,0.027166442945599556,0.027166442945599556,0.027166442945599556,0.02690301649272442,0.02690301649272442,0.02708025649189949,0.02708025649189949,0.02708025649189949,0.02723739482462406,0.02723739482462406,0.027444880455732346,0.027444880455732346,0.027444880455732346,0.027149613946676254,0.027149613946676254,0.027116186916828156,0.027116186916828156,0.027116186916828156,0.027311723679304123,0.027311723679304123,0.027311723679304123,0.027495814487338066,0.027495814487338066,0.027010399848222733,0.027010399848222733,0.027010399848222733,0.02708912082016468,0.02708912082016468,0.02727731503546238,0.02727731503546238,0.02727731503546238,0.02759626694023609,0.02759626694023609,0.027294006198644638
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,17:57:52,17:57:52,17:57:53,17:57:53,17:57:53,17:57:53,17:57:54,17:57:54,17:57:54,17:57:54,17:57:55,17:57:55,17:57:55,17:57:55,17:57:56,17:57:56,17:57:56,17:57:56,17:57:57,17:57:57,17:57:57,17:57:57,17:57:58,17:57:58,17:57:58,17:57:58,17:57:59,17:57:59,17:57:59,17:57:59,17:58:00,17:58:00,17:58:00,17:58:00,17:58:01,17:58:01,17:58:01,17:58:01,17:58:02,17:58:02,17:58:02,17:58:02,17:58:03
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
