,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
FR_Start,GMT,23:34:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:34:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8771362304688,998.8731079101562,998.8875732421875,998.8890991210938,998.8800048828125,998.8887939453125,998.8768310546875,998.85302734375,998.8797607421875,998.87060546875,998.8878784179688,998.8703002929688,998.8712158203125,998.8809814453125,998.8458251953125,998.8646850585938,998.8869018554688,998.8436279296875,998.871826171875,998.885986328125,998.8521118164062,998.8831787109375,998.8621826171875,998.8878784179688,998.84521484375,998.8555297851562,998.8656005859375,998.8539428710938,998.8693237304688,998.86083984375,998.8890991210938,998.8681030273438,998.8734130859375,998.857421875,998.8743286132812,998.8558349609375,998.8674926757812,998.8471069335938,998.8615112304688,998.8878784179688,998.8759765625,998.8483276367188,998.8656005859375,998.8461303710938,998.8466796875,998.8665161132812,998.871826171875,998.8721923828125,998.8493041992188,998.8690185546875,998.8580932617188,998.8486328125,998.8536376953125,998.8436279296875,998.8875732421875,998.8546142578125,998.8602905273438,998.847412109375,998.8483276367188,998.84521484375,998.87841796875,998.882568359375,998.8778686523438,998.8442993164062,998.8844604492188,998.8884887695312,998.8634033203125,998.8524169921875,998.8828735351562,998.8872680664062,998.87841796875,998.8887939453125,998.87255859375,998.8778686523438,998.8693237304688,998.8662109375,998.8539428710938,998.872802734375,998.8740234375,998.8658447265625,998.8812866210938,998.8790893554688,998.8521118164062,998.884765625,998.8731079101562,998.847412109375,998.8580932617188,998.8753051757812,998.8536376953125,998.8555297851562,998.8812866210938,998.8834228515625,998.8856811523438,998.8768310546875,998.8611450195312,998.8878784179688,998.8480224609375,998.8561401367188,998.8759765625,998.8511352539062,998.854248046875,998.8787231445312,998.8471069335938,998.8837890625,998.8580932617188,
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.2591863521,0.2755905516,0.2755905516,0.2755905516,0.2755905516,0.2755905516,0.2755905516,0.2755905516,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.2919947511,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.295275591,0.295275591,0.295275591,0.295275591,0.295275591,0.295275591,0.295275591,0.295275591,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.2132545935
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027460167184472084,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027447018772363663,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.027533607557415962,0.02770022302865982,0.02770022302865982,0.02770022302865982,0.02770022302865982,0.02770022302865982,0.02770022302865982,0.02770022302865982,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.02736777253448963,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027377890422940254,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.027556585147976875,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02772766724228859,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.02735905908048153,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.027259016409516335,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02735895849764347,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02725319005548954,0.02726134844124317,0.02726134844124317,0.02726134844124317,0.02726134844124317,0.02726134844124317,0.02726134844124317,0.02726134844124317,0.027284175157546997,0.027284175157546997,0.027284175157546997,0.027284175157546997,0.027284175157546997,0.027284175157546997
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,
Time,23:34:10,23:34:10,23:34:10,23:34:10,23:34:11,23:34:11,23:34:11,23:34:11,23:34:12,23:34:12,23:34:12,23:34:12,23:34:13,23:34:13,23:34:13,23:34:13,23:34:14,23:34:14,23:34:14,23:34:14,23:34:15,23:34:15,23:34:15,23:34:15,23:34:16,23:34:16,23:34:16,23:34:16,23:34:17,23:34:17,23:34:17,23:34:17,23:34:18,23:34:18,23:34:18,23:34:18,23:34:19,23:34:19,23:34:19,23:34:19,23:34:20,23:34:20,23:34:20,23:34:20,23:34:21,23:34:21,23:34:21,23:34:21,23:34:22,23:34:22,23:34:22,23:34:22,23:34:23,23:34:23,23:34:23,23:34:23,23:34:24,23:34:24,23:34:24,23:34:24,23:34:24,23:34:24,23:34:24,23:34:24,23:34:24,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:25,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:26,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:27,23:34:28,23:34:28,23:34:28,23:34:28,23:34:28,23:34:29,23:34:29,23:34:29,23:34:29,23:34:30,23:34:30
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
