,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
FR_Start,GMT,23:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8439331054688,998.8539428710938,998.8844604492188,998.8878784179688,998.8840942382812,998.849609375,998.849609375,998.8446044921875,998.8765258789062,998.8595581054688,998.8890991210938,998.8524169921875,998.8466796875,998.8831787109375,998.8652954101562,998.8856811523438,998.8790893554688,998.8546142578125,998.8448486328125,998.8662109375,998.8790893554688,998.8815307617188,998.884765625,998.8872680664062,998.8837890625,998.847412109375,998.8778686523438,998.885986328125,998.857421875,998.8527221679688,998.8837890625,998.8699951171875,998.8471069335938,998.86083984375,998.8486328125,998.8624267578125,998.8458251953125,998.8627319335938,998.8439331054688,998.8621826171875,998.8850708007812,998.8850708007812,998.8624267578125,998.85302734375,998.8592529296875,998.8477172851562,998.864990234375,998.8897705078125,998.8734130859375,998.8687133789062,998.871826171875,998.8743286132812,998.8637084960938,998.8442993164062,998.8646850585938,998.8690185546875,998.8765258789062,998.8521118164062,998.8577270507812,998.8627319335938,998.8781127929688,998.875,998.884765625,998.857421875,998.87060546875,998.8875732421875,998.850830078125,998.8427124023438,998.8756103515625,998.8768310546875,998.8624267578125,998.8634033203125,998.8831787109375,998.87841796875,998.8709106445312,998.8800048828125,998.8831787109375,998.8715209960938,998.855224609375,998.8568725585938,998.88818359375,998.8743286132812,998.885986328125,998.8765258789062,998.8797607421875,998.8743286132812,998.8743286132812,998.8740234375,998.8595581054688,998.8618774414062,998.8696899414062,998.8806762695312,998.882568359375,998.8690185546875,998.8740234375,998.8642578125,998.8884887695312,998.8514404296875,998.8662109375,998.8646850585938,998.8787231445312,998.8439331054688,998.8458251953125,998.8853759765625,998.8486328125,998.8427124023438,998.8499145507812,998.8674926757812,998.868408203125,998.8583984375,998.8583984375,998.8837890625,998.8668823242188,998.8712158203125,998.847412109375,998.8630981445312,998.8715209960938,998.8536376953125
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.1049868768,0.1049868768,0.1049868768,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1279527561,0.1279527561,0.1279527561,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1574803152,0.1574803152,0.1574803152,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.196850394,0.196850394,0.196850394,0.196850394,0.2001312339,0.2001312339,0.2001312339,0.2001312339,0.2001312339,0.2001312339,0.2001312339,0.2034120738,0.2034120738,0.2034120738,0.2099737536,0.2099737536,0.2099737536,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.22309711320000003,0.22309711320000003,0.22309711320000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.2329396329,0.2329396329,0.2329396329,0.2329396329,0.2362204728,0.2362204728,0.2362204728,0.2362204728,0.2395013127,0.2395013127
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.025600505992770195,0.025804607197642326,0.025804607197642326,0.0254818145185709,0.0254818145185709,0.0254818145185709,0.0254818145185709,0.02579692006111145,0.02579692006111145,0.02579692006111145,0.02553989738225937,0.02553989738225937,0.02553989738225937,0.025835808366537094,0.025835808366537094,0.025835808366537094,0.025707781314849854,0.025707781314849854,0.025707781314849854,0.025907250121235847,0.025907250121235847,0.025907250121235847,0.025802629068493843,0.025802629068493843,0.025802629068493843,0.026059644296765327,0.026059644296765327,0.025812119245529175,0.025812119245529175,0.025812119245529175,0.025812119245529175,0.025812119245529175,0.026051240041851997,0.026051240041851997,0.026051240041851997,0.025921275839209557,0.025921275839209557,0.025921275839209557,0.026072325184941292,0.026072325184941292,0.026072325184941292,0.025876305997371674,0.025876305997371674,0.025876305997371674,0.02616441808640957,0.02616441808640957,0.02616441808640957,0.02616441808640957,0.02616441808640957,0.025927260518074036,0.025927260518074036,0.025927260518074036,0.02610800974071026,0.02610800974071026,0.02610800974071026,0.02610800974071026,0.025913091376423836,0.025913091376423836,0.025913091376423836,0.026122091338038445,0.026122091338038445,0.026122091338038445,0.026122091338038445,0.0259169340133667,0.0259169340133667,0.0259169340133667,0.0259169340133667,0.026114948093891144,0.026114948093891144,0.026114948093891144,0.025839921087026596,0.025839921087026596,0.025839921087026596,0.026126578450202942,0.026126578450202942,0.026126578450202942,0.0258153285831213,0.0258153285831213,0.0258153285831213,0.0258153285831213,0.0258153285831213,0.02612627111375332,0.02612627111375332,0.02612627111375332,0.02600640431046486,0.02600640431046486,0.02600640431046486,0.026291675865650177,0.026291675865650177,0.026291675865650177,0.026291675865650177,0.026122581213712692,0.026122581213712692,0.026122581213712692,0.026363501325249672,0.026363501325249672,0.026363501325249672,0.026363501325249672,0.026363501325249672,0.0262009110301733,0.0262009110301733,0.0262009110301733,0.026390669867396355,0.026390669867396355,0.026390669867396355,0.026211196556687355,0.026211196556687355,0.026211196556687355,0.02640974521636963,0.02640974521636963,0.02640974521636963,0.02640974521636963,0.02622547559440136,0.02622547559440136,0.02622547559440136,0.02622547559440136,0.02645977772772312,0.02645977772772312
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:16:00,23:16:01,23:16:01,23:16:01,23:16:01,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:02,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:03,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:04,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:05,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:06,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:07,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:08,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:09,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:10,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:11,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:12,23:16:13,23:16:13,23:16:13
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
