,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
FR_Start,GMT,00:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,00:00:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.1017060369,-0.36745406880000003,-0.38057742840000003,-0.393700788,-0.4133858274,-0.4232283471,-0.4232283471,-0.43307086680000006,-0.43307086680000006,-0.43635170670000006,-0.43635170670000006,-0.44291338650000006,-0.45603674610000006,-0.45931758600000006,-0.45931758600000006,-0.45931758600000006,-0.4691601057,-0.4822834653,-0.4822834653,-0.4954068249,-0.5052493446,-0.5052493446,-0.5118110244,-0.5216535441,-0.5216535441,-0.5347769037000001,-0.5446194234,-0.5511811032,-0.5511811032,-0.5544619431000001,-0.5643044628,-0.5643044628,-0.5675853027,-0.5643044628,-0.5643044628,-0.5708661426,-0.5774278224,-0.5807086623,-0.5807086623,-0.4232283471,-0.2887139112,-0.196850394,-0.196850394,-0.1377952758,-0.1377952758,-0.098425197,-0.0721784778,-0.0623359581,-0.0492125985,-0.0492125985,-0.0360892389,-0.0360892389,-0.0262467192,-0.022965879300000002,-0.0262467192,-0.0262467192,-0.022965879300000002,-0.0196850394,-0.0196850394,-0.0164041995,-0.0131233596,-0.0196850394,-0.0196850394,-0.0164041995,-0.0164041995,-0.0164041995,-0.022965879300000002,-0.032808399,-0.045931758600000004,-0.045931758600000004,-0.05577427830000001,-0.0623359581,-0.0623359581
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.00923281442373991,0.004990698304027319,0.004770408384501934,0.00455533666536212,0.004272063262760639,0.004055566620081663,0.004055566620081663,0.003866481827571988,0.003670193487778306,0.0035222615115344524,0.0035222615115344524,0.003394428873434663,0.0032448223792016506,0.0030244586523622274,0.0030244586523622274,0.002816466148942709,0.0025961464270949364,0.0024098895955830812,0.0024098895955830812,0.0021817167289555073,0.0019517155596986413,0.0019517155596986413,0.0017670494271442294,0.0015815164661034942,0.0015815164661034942,0.0013886275701224804,0.0011886762222275138,0.0009338856325484812,0.0009338856325484812,0.0007401146576739848,0.0005284328362904489,0.0005284328362904489,0.000372554175555706,0.00024467799812555313,0.00024467799812555313,0.00021079824364278466,0.0003628726408351213,0.0005576834664680064,0.0005576834664680064,0.0007639140239916742,0.0008996212854981422,0.0011117347748950124,0.0011117347748950124,0.0013023036299273372,0.0013023036299273372,0.0015022094594314694,0.001664798124693334,0.0018872864311560988,0.0018872864311560988,0.0020688683725893497,0.0022487954702228308,0.0022487954702228308,0.0024547558277845383,0.002636088291183114,0.002806504024192691,0.002806504024192691,0.0029716910794377327,0.0031173392198979855,0.0031173392198979855,0.003303408157080412,0.0035067687276750803,0.003672391641885042,0.003672391641885042,0.0037843112368136644,0.00400341534987092,0.00400341534987092,0.004216702654957771,0.0044162985868752,0.004587684758007526,0.004587684758007526,0.004764694254845381,0.004974692594259977,0.00513050751760602
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,00:00:18,00:00:18,00:00:18,00:00:19,00:00:19,00:00:19,00:00:19,00:00:20,00:00:20,00:00:20,00:00:20,00:00:21,00:00:21,00:00:21,00:00:21,00:00:22,00:00:22,00:00:22,00:00:22,00:00:22,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:24,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:25,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:26,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:27,00:00:28,00:00:28,00:00:28
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
