,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
FR_Start,GMT,21:38:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:38:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8731079101562,998.8721923828125,998.8828735351562,998.87255859375,998.8778686523438,998.84521484375,998.8671875,998.8756103515625,998.8521118164062,998.8797607421875,998.8703002929688,998.8887939453125,998.8592529296875,998.8693237304688,998.8768310546875,998.864013671875,998.8489379882812,998.8687133789062,998.8872680664062,998.8828735351562,998.8853759765625,998.8524169921875,998.8621826171875,998.882568359375,998.8746948242188,998.8743286132812,998.8759765625,998.8862915039062,998.8872680664062,998.84521484375,998.8605346679688,998.8815307617188,998.8831787109375,998.8787231445312,998.8900756835938,998.882568359375,998.875,998.8828735351562,998.8878784179688,998.8514404296875,998.86083984375,998.8712158203125,998.8759765625,998.850830078125,998.8674926757812,998.8442993164062,998.8480224609375,998.8533325195312,998.8840942382812,998.8693237304688,998.8853759765625,998.8671875,998.864013671875,998.8571166992188,998.8466796875,998.85498046875,998.8693237304688,998.884765625,998.8681030273438,998.8634033203125,998.8884887695312,998.8568725585938,998.864990234375,998.8712158203125,998.8878784179688,998.8642578125,998.8439331054688,998.8533325195312,998.8618774414062,998.8699951171875,998.8499145507812,998.8427124023438,998.8517456054688,998.876220703125,998.8690185546875,998.8442993164062,998.8787231445312,998.8439331054688,998.8674926757812,998.8884887695312,998.8580932617188,998.8693237304688,998.8533325195312,998.8781127929688,998.8583984375,998.8887939453125,998.857421875,998.8499145507812,998.8514404296875,998.8756103515625,998.8806762695312,998.8806762695312,998.8493041992188,998.87060546875,998.8621826171875,998.8546142578125,998.882568359375,998.8696899414062,998.85302734375,998.8834228515625,998.8794555664062,998.871826171875,998.8571166992188,998.8790893554688,998.86083984375,998.8740234375,998.8558349609375
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.1673228349,0.16076115510000002,0.1509186354,0.1509186354,0.1509186354,0.1410761157,0.1410761157,0.1279527561,0.1279527561,0.1049868768,0.1049868768,0.1049868768,0.0262467192,0.0262467192,0.0164041995,0.0164041995,0.0164041995,0.0426509187,0.0426509187,0.0754593177,0.0754593177,0.0754593177,0.10826771670000002,0.10826771670000002,0.1476377955,0.1476377955,0.1476377955,0.17716535460000002,0.17716535460000002,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.2034120738,0.2034120738,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.2657480319,0.2657480319,0.2887139112,0.2887139112,0.2887139112,0.3149606304,0.3149606304,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.393700788,0.393700788,0.4199475072,0.4199475072,0.4199475072,0.45275590620000006,0.45275590620000006,0.4822834653,0.4822834653,0.4822834653,0.5183727042,0.5183727042,0.5413385835000001,0.5413385835000001,0.5413385835000001,0.5675853027,0.5675853027,0.5807086623,0.5807086623,0.5807086623,0.5872703421,0.5872703421,0.5052493446,0.5052493446,0.5052493446,0.18700787430000002,0.18700787430000002,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.0492125985,0.0492125985,0.0360892389,0.0360892389,0.0360892389,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.05577427830000001,0.05577427830000001,0.0492125985,0.0492125985,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0492125985,0.0492125985,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.0787401576,0.0787401576,0.098425197,0.098425197,0.098425197,0.1049868768,0.1049868768,0.10826771670000002,0.10826771670000002,0.10826771670000002
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027646543458104134,0.02738327533006668,0.027536898851394653,0.027536898851394653,0.027536898851394653,0.02769971638917923,0.02769971638917923,0.027371587231755257,0.027371587231755257,0.027112795040011406,0.027112795040011406,0.027112795040011406,0.027182400226593018,0.027182400226593018,0.02744371071457863,0.02744371071457863,0.02744371071457863,0.02716928906738758,0.02716928906738758,0.027173874899744987,0.027173874899744987,0.027173874899744987,0.027282139286398888,0.027282139286398888,0.027520978823304176,0.027520978823304176,0.027520978823304176,0.027299826964735985,0.027299826964735985,0.02723325416445732,0.02723325416445732,0.02723325416445732,0.02719022147357464,0.02719022147357464,0.027517687529325485,0.027517687529325485,0.027517687529325485,0.02726362831890583,0.02726362831890583,0.027273470535874367,0.027273470535874367,0.027273470535874367,0.02748885564506054,0.02748885564506054,0.027726072818040848,0.027726072818040848,0.027726072818040848,0.027467666193842888,0.027467666193842888,0.027463354170322418,0.027463354170322418,0.027463354170322418,0.027434762567281723,0.027434762567281723,0.027630561962723732,0.027630561962723732,0.027630561962723732,0.027584021911025047,0.027584021911025047,0.027504969388246536,0.027504969388246536,0.027504969388246536,0.02752821519970894,0.02752821519970894,0.027661927044391632,0.027661927044391632,0.027661927044391632,0.027352411299943924,0.027352411299943924,0.02733931690454483,0.02733931690454483,0.02733931690454483,0.027433432638645172,0.027433432638645172,0.027674362063407898,0.027674362063407898,0.027674362063407898,0.027555907145142555,0.027555907145142555,0.027522077783942223,0.027522077783942223,0.027522077783942223,0.027569137513637543,0.027569137513637543,0.027569137513637543,0.02771187573671341,0.02771187573671341,0.02731872722506523,0.02731872722506523,0.02726234868168831,0.02726234868168831,0.02726234868168831,0.027426840737462044,0.027426840737462044,0.02734004147350788,0.02734004147350788,0.02734004147350788,0.027352349832654,0.027352349832654,0.027347147464752197,0.027347147464752197,0.027347147464752197,0.027504798024892807,0.027504798024892807,0.02761327661573887,0.02761327661573887,0.02761327661573887
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,21:38:19,21:38:20,21:38:20,21:38:20,21:38:20,21:38:21,21:38:21,21:38:21,21:38:21,21:38:22,21:38:22,21:38:22,21:38:22,21:38:23,21:38:23,21:38:23,21:38:23,21:38:24,21:38:24,21:38:24,21:38:24,21:38:25,21:38:25,21:38:25,21:38:25,21:38:26,21:38:26,21:38:26,21:38:26,21:38:27,21:38:27,21:38:27,21:38:27,21:38:28,21:38:28,21:38:28,21:38:28,21:38:29,21:38:29,21:38:29,21:38:29,21:38:30,21:38:30,21:38:30,21:38:30,21:38:31,21:38:31,21:38:31,21:38:31,21:38:32,21:38:32,21:38:32,21:38:32,21:38:33,21:38:33,21:38:33,21:38:33,21:38:34,21:38:34,21:38:34,21:38:34,21:38:35,21:38:35,21:38:35,21:38:35,21:38:36,21:38:36,21:38:36,21:38:36,21:38:37,21:38:37,21:38:37,21:38:37,21:38:38,21:38:38,21:38:38,21:38:38,21:38:39,21:38:39,21:38:39,21:38:39,21:38:40,21:38:40,21:38:40,21:38:40,21:38:41,21:38:41,21:38:41,21:38:41,21:38:42,21:38:42,21:38:42,21:38:42,21:38:42,21:38:42,21:38:42,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:43,21:38:44
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,20/07/2022,"July 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
