,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
FR_Start,GMT,22:39:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:40:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8856811523438,998.8806762695312,998.8505249023438,998.8853759765625,998.8699951171875,998.8806762695312,998.8652954101562,998.8853759765625,998.8561401367188,998.8775634765625,998.8818359375,998.8533325195312,998.8831787109375,998.8737182617188,998.8546142578125,998.8837890625,998.8521118164062,998.875,998.8668823242188,998.8658447265625,998.8715209960938,998.846435546875,998.8840942382812,998.8731079101562,998.8634033203125,998.8834228515625,998.8602905273438,998.8621826171875,998.854248046875,998.8511352539062,998.8561401367188,998.8577270507812,998.8828735351562,998.8768310546875,998.8693237304688,998.8436279296875,998.8853759765625,998.8533325195312,998.882568359375,998.8715209960938,998.8831787109375,998.8709106445312,998.8765258789062,998.8668823242188,998.8837890625,998.8778686523438,998.8646850585938,998.8853759765625,998.8687133789062,998.8627319335938,998.8637084960938,998.8775634765625,998.8630981445312,998.8489379882812,998.87255859375,998.8493041992188,998.876220703125,998.8709106445312,998.8715209960938,998.8828735351562,998.8580932617188,998.8878784179688,998.843017578125,998.8658447265625,998.8466796875,998.8471069335938,998.8853759765625,998.885986328125,998.8800048828125,998.8565673828125,998.864990234375,998.88818359375,998.8721923828125,998.8599853515625,998.8765258789062,998.8486328125,998.8458251953125,998.864013671875,998.8436279296875,998.8671875,998.8592529296875,998.8703002929688,998.8539428710938,998.8853759765625,998.858642578125,998.8703002929688,998.8618774414062,998.8890991210938,998.857421875,998.87255859375,998.855224609375,998.8778686523438,998.84521484375,998.8900756835938,998.8884887695312,998.8822631835938,998.8778686523438,998.8696899414062,998.8890991210938,998.8502197265625,998.849609375,998.8756103515625,998.882568359375,998.8662109375,998.8818359375,998.8690185546875,998.8815307617188,998.8815307617188,998.8583984375,998.8759765625,998.8627319335938,998.8800048828125,998.8471069335938,998.8646850585938,998.8624267578125,998.8878784179688,998.8768310546875,998.8592529296875,998.8681030273438,998.8511352539062,998.88818359375,998.8693237304688,998.8834228515625,998.8862915039062,998.8446044921875,998.8577270507812,998.850830078125,998.8615112304688,998.85498046875,998.8759765625,998.8703002929688,998.8517456054688,998.854248046875,998.8875732421875
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3083989506,0.3182414703,0.3182414703,0.3182414703,0.3182414703,0.3182414703,0.3182414703,0.3182414703,0.3182414703,0.33136482990000005,0.33136482990000005,0.33136482990000005,0.33136482990000005,0.33136482990000005,0.33136482990000005,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.3477690294,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.36089238900000004,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.4199475072,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.44619422640000006,0.44619422640000006,0.44619422640000006,0.44619422640000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.45275590620000006,0.45275590620000006,0.45275590620000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526,0.2427821526
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027623547241091728,0.027623547241091728,0.027623547241091728,0.027623547241091728,0.027623547241091728,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.027732133865356445,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.02744382806122303,0.027378011494874954,0.027378011494874954,0.027378011494874954,0.027378011494874954,0.027378011494874954,0.027378011494874954,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.02758527733385563,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027622921392321587,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027335232123732567,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027495769783854485,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.027778731659054756,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.02810332365334034,0.027663687244057655,0.027663687244057655,0.027663687244057655,0.027840325608849525,0.027840325608849525,0.027840325608849525,0.027840325608849525,0.0276531670242548,0.0276531670242548,0.0276531670242548,0.027801193296909332,0.027801193296909332,0.027801193296909332,0.027614248916506767,0.027614248916506767,0.027614248916506767,0.027806103229522705,0.027806103229522705,0.027806103229522705,0.027806103229522705,0.027630183845758438,0.027630183845758438,0.027630183845758438,0.027630183845758438,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801,0.02780548296868801
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
