,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
FR_Start,GMT,23:29:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:29:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8637084960938,998.8690185546875,998.8630981445312,998.8489379882812,998.8703002929688,998.8677978515625,998.8662109375,998.8662109375,998.8677978515625,998.8580932617188,998.8831787109375,998.864990234375,998.876220703125,998.8605346679688,998.8652954101562,998.8834228515625,998.8862915039062,998.8477172851562,998.8887939453125,998.88818359375,998.8427124023438,998.8561401367188,998.884765625,998.87841796875,998.8674926757812,998.855224609375,998.8480224609375,998.8693237304688,998.8737182617188,998.8884887695312,998.8656005859375,998.8511352539062,998.8790893554688,998.8806762695312,998.8834228515625,998.8439331054688,998.8809814453125,998.8671875,998.872802734375,998.882568359375,998.8681030273438,998.8502197265625,998.871826171875,998.854248046875,998.8642578125,998.87060546875,998.8856811523438,998.8699951171875,998.8558349609375,998.8768310546875,998.8778686523438,998.8505249023438,998.8850708007812,998.8580932617188,998.8505249023438,998.8740234375,998.884765625,998.846435546875,998.8624267578125,998.850830078125,998.8615112304688,998.8740234375,998.8637084960938,998.8853759765625,998.8662109375,998.8539428710938,998.8743286132812,998.858642578125,998.85498046875,998.8611450195312,998.84521484375,998.8524169921875,998.8461303710938,998.8887939453125,998.8787231445312,998.8690185546875,998.8831787109375,998.8844604492188,998.8662109375,998.8815307617188,998.88818359375,998.8466796875,998.8759765625,998.8844604492188,998.88818359375,998.8690185546875,998.8602905273438,998.8555297851562,998.8571166992188,998.8565673828125,998.855224609375,998.8511352539062,998.8595581054688,998.847412109375,998.8480224609375,998.8803100585938,998.8693237304688,998.8592529296875,998.8630981445312,998.87255859375,998.8790893554688,998.8721923828125,998.8800048828125,998.8709106445312,998.8466796875,998.8466796875,998.8844604492188,998.8674926757812,998.8743286132812
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.4724409456,-0.4724409456,-0.4724409456,-0.4724409456,-0.4855643052,-0.4855643052,-0.4855643052,-0.4855643052,-0.4855643052,-0.4855643052,-0.4855643052,-0.4855643052,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5085301845,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5282152239000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5479002633000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5872703421,-0.5872703421,-0.5872703421,-0.5872703421,-0.5872703421,-0.5872703421,-0.5872703421,-0.5872703421,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.3477690294,-0.1279527561,-0.1279527561,-0.1279527561,-0.1017060369,-0.1017060369,-0.1017060369,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0787401576,-0.0590551182,-0.0590551182,-0.0590551182,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0360892389,-0.0360892389,-0.0360892389,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0196850394,-0.0196850394,-0.0196850394,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,0.0,0.0,0.0
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02796219289302826,0.02796219289302826,0.02796219289302826,0.02796219289302826,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027884500101208687,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.027851354330778122,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.028125861659646034,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027731431648135185,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027586286887526512,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027624890208244324,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.027966724708676338,0.02762116678059101,0.02762116678059101,0.02762116678059101,0.02788318693637848,0.02788318693637848,0.02788318693637848,0.027565300464630127,0.027565300464630127,0.027565300464630127,0.027565300464630127,0.027565300464630127,0.02785923145711422,0.02785923145711422,0.02785923145711422,0.027471235021948814,0.027471235021948814,0.027471235021948814,0.027772143483161926,0.027772143483161926,0.027772143483161926,0.027772143483161926,0.02740170806646347,0.02740170806646347,0.02740170806646347,0.027757851406931877,0.027757851406931877,0.027757851406931877,0.027757851406931877,0.02741846814751625,0.02741846814751625,0.02741846814751625,0.027757883071899414,0.027757883071899414,0.027757883071899414,0.027757883071899414,0.027435926720499992,0.027435926720499992,0.027435926720499992,0.027761545032262802,0.027761545032262802,0.027761545032262802,0.027761545032262802,0.027428098022937775,0.027428098022937775,0.027428098022937775
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:29:15,23:29:15,23:29:15,23:29:16,23:29:16,23:29:16,23:29:16,23:29:17,23:29:17,23:29:17,23:29:17,23:29:18,23:29:18,23:29:18,23:29:18,23:29:19,23:29:19,23:29:19,23:29:19,23:29:20,23:29:20,23:29:20,23:29:20,23:29:20,23:29:20,23:29:20,23:29:20,23:29:20,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:21,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:22,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:23,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:24,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:25,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:26,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:27,23:29:28,23:29:28,23:29:28,23:29:28,23:29:28,23:29:29,23:29:29,23:29:29,23:29:29,23:29:30,23:29:30
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
