,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
FR_Start,GMT,23:44:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:45:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8489379882812,998.868408203125,998.8568725585938,998.8539428710938,998.8687133789062,998.846435546875,998.8615112304688,998.8442993164062,998.8466796875,998.84521484375,998.8677978515625,998.8897705078125,998.8546142578125,998.8703002929688,998.8850708007812,998.8493041992188,998.8862915039062,998.8703002929688,998.8618774414062,998.8589477539062,998.8536376953125,998.8740234375,998.8602905273438,998.850830078125,998.8536376953125,998.8765258789062,998.8493041992188,998.8822631835938,998.8455200195312,998.8486328125,998.8756103515625,998.8765258789062,998.8561401367188,998.882568359375,998.882568359375,998.884765625,998.8693237304688,998.864013671875,998.8775634765625,998.8514404296875,998.8568725585938,998.8533325195312,998.8539428710938,998.8812866210938,998.8634033203125,998.8448486328125,998.8634033203125,998.8856811523438,998.8458251953125,998.8493041992188,998.8634033203125,998.8634033203125,998.8658447265625,998.8828735351562,998.8781127929688,998.8671875,998.8878784179688,998.8511352539062,998.8696899414062,998.8630981445312,998.8458251953125,998.8442993164062,998.8630981445312,998.8611450195312,998.8480224609375,998.8781127929688,998.8455200195312,998.8455200195312,998.8605346679688,998.8897705078125,998.876220703125,998.8787231445312,998.8583984375,998.87841796875,998.8517456054688,998.87255859375,998.8568725585938,998.8809814453125,998.876220703125,998.8571166992188,998.872802734375,998.889404296875
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0164041995,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027676301077008247,0.027676301077008247,0.027676301077008247,0.027676301077008247,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027487434446811676,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.027734270319342613,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.028123358264565468,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027931850403547287,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.027930637821555138,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.02802869863808155,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.028145361691713333,0.027778301388025284,0.027778301388025284,0.027778301388025284,0.027778301388025284,0.027778301388025284,0.02747291512787342,0.02747291512787342,0.02747291512787342,0.02747291512787342,0.02747291512787342,0.02747291512787342
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:44:57,23:44:58,23:44:58,23:44:58,23:44:58,23:44:59,23:44:59,23:44:59,23:44:59,23:45:00,23:45:00,23:45:00,23:45:00,23:45:01,23:45:01,23:45:01,23:45:01,23:45:02,23:45:02,23:45:02,23:45:02,23:45:03,23:45:03,23:45:03,23:45:03,23:45:04,23:45:04,23:45:04,23:45:04,23:45:05,23:45:05,23:45:05,23:45:05,23:45:06,23:45:06,23:45:06,23:45:06,23:45:07,23:45:07,23:45:07,23:45:07,23:45:08,23:45:08,23:45:08,23:45:08,23:45:09,23:45:09,23:45:09,23:45:09,23:45:10,23:45:10,23:45:10,23:45:10,23:45:10,23:45:10,23:45:10,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:11,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:12,23:45:13,23:45:13,23:45:13,23:45:13,23:45:13,23:45:13
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
