,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
FR_Start,GMT,23:58:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:58:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.08858267730000001,-0.3182414703,-0.3182414703,-0.3182414703,-0.3182414703,-0.3182414703,-0.3116797905,-0.3116797905,-0.3116797905,-0.3116797905,-0.32152231020000005,-0.32152231020000005,-0.32152231020000005,-0.3412073496,-0.3412073496,-0.3412073496,-0.3412073496,-0.37401574860000003,-0.37401574860000003,-0.37401574860000003,-0.37401574860000003,-0.3969816279,-0.3969816279,-0.3969816279,-0.4068241476,-0.4068241476,-0.4068241476,-0.4068241476,-0.4068241476,-0.4068241476,-0.4068241476,-0.18372703440000002,-0.18372703440000002,-0.18372703440000002,-0.18372703440000002,-0.065616798,-0.065616798,-0.065616798,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0590551182,0.0590551182,0.0590551182,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1017060369,0.1017060369,0.1017060369,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1181102364,0.1181102364
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02757815271615982,0.027459602802991867,0.027459602802991867,0.027459602802991867,0.02749810926616192,0.02749810926616192,0.02757611870765686,0.02757611870765686,0.02757611870765686,0.02757611870765686,0.02781831845641136,0.02781831845641136,0.02781831845641136,0.02805737778544426,0.02805737778544426,0.02805737778544426,0.02805737778544426,0.02778068371117115,0.02778068371117115,0.02778068371117115,0.02778068371117115,0.027704652398824692,0.027704652398824692,0.027704652398824692,0.027822118252515793,0.027822118252515793,0.027822118252515793,0.027732765302062035,0.027732765302062035,0.027732765302062035,0.027732765302062035,0.027772461995482445,0.027772461995482445,0.027772461995482445,0.027772461995482445,0.02783581241965294,0.02783581241965294,0.02783581241965294,0.028011251240968704,0.028011251240968704,0.028011251240968704,0.028011251240968704,0.028106974437832832,0.028106974437832832,0.028106974437832832,0.027757728472352028,0.027757728472352028,0.027757728472352028,0.027737198397517204,0.027737198397517204,0.027737198397517204,0.027737198397517204,0.027805853635072708,0.027805853635072708,0.027805853635072708,0.027717409655451775,0.027717409655451775,0.027717409655451775,0.027717409655451775,0.027599090710282326,0.027599090710282326
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:58:42,23:58:42,23:58:43,23:58:43,23:58:43,23:58:43,23:58:44,23:58:44,23:58:44,23:58:44,23:58:45,23:58:45,23:58:45,23:58:45,23:58:46,23:58:46,23:58:46,23:58:46,23:58:47,23:58:47,23:58:47,23:58:47,23:58:48,23:58:48,23:58:48,23:58:48,23:58:49,23:58:49,23:58:49,23:58:49,23:58:50,23:58:50,23:58:50,23:58:50,23:58:51,23:58:51,23:58:51,23:58:51,23:58:52,23:58:52,23:58:52,23:58:52,23:58:53,23:58:53,23:58:53,23:58:53,23:58:54,23:58:54,23:58:54,23:58:54,23:58:55,23:58:55,23:58:55,23:58:55,23:58:56,23:58:56,23:58:56,23:58:56,23:58:57,23:58:57,23:58:57
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
