,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
FR_Start,GMT,23:57:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:58:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8887939453125,998.885986328125,998.8558349609375,998.8514404296875,998.8818359375,998.849609375,998.8505249023438,998.8869018554688,998.864013671875,998.855224609375,998.8812866210938,998.885986328125,998.8850708007812,998.868408203125,998.8656005859375,998.8536376953125,998.8869018554688,998.8765258789062,998.8665161132812,998.87841796875,998.8665161132812,998.87841796875,998.882568359375,998.8652954101562,998.8687133789062,998.8502197265625,998.8797607421875,998.8803100585938,998.857421875,998.8878784179688,998.8493041992188,998.8568725585938,998.8493041992188,998.8765258789062,998.8737182617188,998.8599853515625,998.8630981445312,998.8642578125,998.8746948242188,998.8721923828125,998.8652954101562,998.8486328125,998.8690185546875,998.8546142578125,998.8818359375,998.875,998.8844604492188,998.8687133789062,998.87841796875,998.8712158203125,998.8471069335938,998.8521118164062,998.8834228515625,998.8527221679688,998.8884887695312,998.8658447265625,998.8693237304688,998.857421875,998.8521118164062,998.8875732421875,998.8809814453125,998.8583984375,998.8571166992188,998.8721923828125,998.8536376953125,998.8840942382812,998.8890991210938,998.84521484375,998.8521118164062,998.8746948242188,998.87060546875,998.8794555664062,998.8703002929688,998.8715209960938,998.8712158203125,998.882568359375,998.8703002929688,998.8753051757812,998.8822631835938,998.846435546875,998.8448486328125,998.8822631835938,998.885986328125,998.8831787109375,998.8668823242188,998.8687133789062,998.8546142578125,998.8521118164062,998.8872680664062,998.8856811523438,998.8455200195312,998.8753051757812,998.8533325195312,998.8721923828125,998.8869018554688,998.8872680664062,998.8837890625,998.882568359375,998.849609375,998.8642578125,998.8897705078125,998.855224609375,998.8775634765625,998.8809814453125,998.882568359375,998.8800048828125,998.8721923828125,998.8483276367188,998.8812866210938,998.88818359375,998.8690185546875,998.8690185546875,998.86083984375,998.8890991210938,998.8674926757812,998.8865966796875,998.8897705078125,998.8502197265625,998.8703002929688,998.864013671875,998.8703002929688,998.8448486328125,998.8800048828125,998.8624267578125,998.8624267578125,998.8577270507812,998.8611450195312,998.882568359375,998.8499145507812,998.8844604492188
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.032808399,0.0787401576,0.1213910763,0.1213910763,0.1541994753,0.1541994753,0.2001312339,0.2001312339,0.2329396329,0.2329396329,0.2329396329,0.2690288718,0.2690288718,0.3116797905,0.3116797905,0.3116797905,0.3510498693,0.3510498693,0.36417322890000003,0.36417322890000003,0.3838582683,0.3838582683,0.4101049875,0.4101049875,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43963254660000006,0.43963254660000006,0.43963254660000006,0.43307086680000006,0.43307086680000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.4790026254,0.4790026254,0.5118110244,0.5118110244,0.5118110244,0.5413385835000001,0.5413385835000001,0.5413385835000001,0.5413385835000001,0.5413385835000001,0.5446194234,0.5446194234,0.2395013127,0.2395013127,0.2395013127,0.098425197,0.098425197,0.065616798,0.065616798,0.065616798,0.08202099750000001,0.08202099750000001,0.1279527561,0.1279527561,0.1279527561,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.21653543340000003,0.21653543340000003,0.2559055122,0.2559055122,0.2559055122,0.2854330713,0.2854330713,0.3116797905,0.3116797905,0.3116797905,0.3346456698,0.3346456698,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.37401574860000003,0.37401574860000003,0.38713910819999997,0.38713910819999997,0.393700788,0.393700788,0.393700788,0.393700788,0.393700788,0.4035433077,0.4035433077,0.4035433077,0.3969816279,0.3969816279,0.3969816279,0.4035433077,0.4035433077,0.3969816279,0.3969816279,0.3969816279,0.38713910819999997,0.38713910819999997,0.4068241476,0.4068241476,0.4068241476,0.43635170670000006,0.43635170670000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.19356955409999999,0.19356955409999999,0.0754593177,0.0754593177,0.0754593177,0.045931758600000004,0.045931758600000004,0.0393700788,0.0393700788,0.0393700788,0.045931758600000004,0.045931758600000004,0.0623359581,0.0623359581,0.0623359581,0.08858267730000001,0.08858267730000001,0.1017060369,0.1017060369,0.1017060369,0.10826771670000002,0.10826771670000002
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027390290051698685,0.0278403852134943,0.027487684041261673,0.027487684041261673,0.027427615597844124,0.027427615597844124,0.027594072744250298,0.027594072744250298,0.027622254565358162,0.027622254565358162,0.027622254565358162,0.027338432148098946,0.027338432148098946,0.027477659285068512,0.027477659285068512,0.027477659285068512,0.02770272269845009,0.02770272269845009,0.027997026219964027,0.027997026219964027,0.027556059882044792,0.027556059882044792,0.027665957808494568,0.027665957808494568,0.027682924643158913,0.027682924643158913,0.027682924643158913,0.0272902250289917,0.0272902250289917,0.0272902250289917,0.027449561282992363,0.027449561282992363,0.02769308164715767,0.02769308164715767,0.02769308164715767,0.027934888377785683,0.027934888377785683,0.027719642966985703,0.027719642966985703,0.027719642966985703,0.027616724371910095,0.027616724371910095,0.027706895023584366,0.027706895023584366,0.027706895023584366,0.02789366990327835,0.02789366990327835,0.02748018689453602,0.02748018689453602,0.02748018689453602,0.027559693902730942,0.027559693902730942,0.027904123067855835,0.027904123067855835,0.027904123067855835,0.028104368597269058,0.028104368597269058,0.027776656672358513,0.027776656672358513,0.027776656672358513,0.027688197791576385,0.027688197791576385,0.027688197791576385,0.027771471068263054,0.027771471068263054,0.028001081198453903,0.028001081198453903,0.028001081198453903,0.027496926486492157,0.027496926486492157,0.02741500921547413,0.02741500921547413,0.02741500921547413,0.027668818831443787,0.027668818831443787,0.027897216379642487,0.027897216379642487,0.027897216379642487,0.0275350883603096,0.0275350883603096,0.02747640758752823,0.02747640758752823,0.02755238115787506,0.02755238115787506,0.02755238115787506,0.027690576389431953,0.027690576389431953,0.027690576389431953,0.02740989625453949,0.02740989625453949,0.027165282517671585,0.027165282517671585,0.027165282517671585,0.027330558747053146,0.027330558747053146,0.027716729789972305,0.027716729789972305,0.027716729789972305,0.02756216563284397,0.02756216563284397,0.027524597942829132,0.027524597942829132,0.027524597942829132,0.027626052498817444,0.027626052498817444,0.027841797098517418,0.027841797098517418,0.027841797098517418,0.02757236361503601,0.02757236361503601,0.027365535497665405,0.027365535497665405,0.027365535497665405,0.02754182368516922,0.02754182368516922,0.027808018028736115,0.027808018028736115,0.027808018028736115,0.027552779763936996,0.027552779763936996,0.027459023520350456,0.027459023520350456,0.027459023520350456,0.027565933763980865,0.027565933763980865,0.02779536508023739,0.02779536508023739,0.02779536508023739,0.027493668720126152,0.027493668720126152
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
