,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
FR_Start,GMT,17:58:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:58:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8794555664062,998.8589477539062,998.88818359375,998.8731079101562,998.8455200195312,998.8480224609375,998.85302734375,998.8580932617188,998.858642578125,998.849609375,998.8466796875,998.84521484375,998.8662109375,998.8489379882812,998.8875732421875,998.8589477539062,998.8505249023438,998.8712158203125,998.8436279296875,998.8568725585938,998.8471069335938,998.864013671875,998.8602905273438,998.8555297851562,998.864990234375,998.8662109375,998.8794555664062,998.8471069335938,998.8844604492188,998.8442993164062,998.875,998.8746948242188,998.8850708007812,998.8448486328125,998.8900756835938,998.8605346679688,998.8703002929688,998.858642578125,998.8768310546875,998.87255859375,998.8771362304688,998.8797607421875,998.8461303710938,998.8524169921875,998.8897705078125,998.8489379882812,998.8775634765625,998.8818359375,998.8674926757812,998.8517456054688,998.8731079101562,998.8837890625,998.8627319335938,998.868408203125,998.8571166992188,998.8656005859375,998.8768310546875,998.8461303710938,998.8753051757812,998.8561401367188,998.8759765625,998.8624267578125,998.8869018554688,998.8768310546875,998.8458251953125,998.8775634765625,998.8737182617188,998.8778686523438,998.8442993164062,998.8887939453125,998.8709106445312,998.8850708007812,998.8828735351562,998.8458251953125,998.8480224609375,998.8483276367188,998.8862915039062,998.850830078125,998.8499145507812,998.8637084960938,998.8665161132812,998.8712158203125,998.8781127929688,998.8489379882812,998.8765258789062,998.8642578125,998.8471069335938,998.8439331054688,998.8524169921875,998.8514404296875,998.8884887695312,998.8539428710938,998.8668823242188,
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.2132545935,0.43635170670000006,0.4658792658,0.4658792658,0.4658792658,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.5052493446,0.5052493446,0.5052493446,0.5085301845,0.5085301845,0.5282152239000001,0.5282152239000001,0.5282152239000001,0.5446194234,0.5446194234,0.557742783,0.557742783,0.557742783,0.5675853027,0.5675853027,0.5708661426,0.5708661426,0.5708661426,0.5675853027,0.5675853027,0.32480315010000005,0.32480315010000005,0.32480315010000005,0.1213910763,0.1213910763,0.0754593177,0.0754593177,0.0754593177,0.08202099750000001,0.08202099750000001,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.1410761157,0.1410761157,0.1738845147,0.1738845147,0.1738845147,0.2001312339,0.2001312339,0.2362204728,0.2362204728,0.2362204728,0.262467192,0.262467192,0.2657480319,0.2657480319,0.2657480319,0.2887139112,0.2887139112,0.32480315010000005,0.32480315010000005,0.32480315010000005,0.35761154910000004,0.35761154910000004,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.4035433077,0.4035433077,0.4232283471,0.4232283471,0.4232283471,0.4232283471,0.43635170670000006,0.43963254660000006,0.44291338650000006,0.44619422640000006,0.44291338650000006,0.43963254660000006,0.44619422640000006,0.44619422640000006,0.44619422640000006,0.44291338650000006,0.44947506630000006,0.44947506630000006,0.44947506630000006,0.44291338650000006,0.43635170670000006,0.43963254660000006,0.3149606304,0.21653543340000003,0.1377952758,0.08202099750000001,0.045931758600000004
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027088353410363197,0.027300875633955002,0.027321429923176765,0.027321429923176765,0.027321429923176765,0.027343031018972397,0.027343031018972397,0.027557233348488808,0.027557233348488808,0.027702465653419495,0.027702465653419495,0.027702465653419495,0.027390388771891594,0.027390388771891594,0.02729405090212822,0.02729405090212822,0.02729405090212822,0.02735568769276142,0.02735568769276142,0.02731575444340706,0.02731575444340706,0.02731575444340706,0.027018092572689056,0.027018092572689056,0.027253735810518265,0.027253735810518265,0.027253735810518265,0.027523601427674294,0.027523601427674294,0.02773868851363659,0.02773868851363659,0.02773868851363659,0.027455328032374382,0.027455328032374382,0.02741270326077938,0.02741270326077938,0.02741270326077938,0.027421139180660248,0.027421139180660248,0.027297236025333405,0.027297236025333405,0.027297236025333405,0.026976628229022026,0.026976628229022026,0.027107642963528633,0.027107642963528633,0.027107642963528633,0.02733280323445797,0.02733280323445797,0.02758317068219185,0.02758317068219185,0.02758317068219185,0.027297528460621834,0.027297528460621834,0.02726675011217594,0.02726675011217594,0.02726675011217594,0.027350272983312607,0.027350272983312607,0.027529168874025345,0.027529168874025345,0.027529168874025345,0.026927461847662926,0.026927461847662926,0.026917684823274612,0.026917684823274612,0.026917684823274612,0.027101922780275345,0.027101922780275345,0.027286704629659653,0.027286704629659653,0.027286704629659653,0.027286704629659653,0.027021678164601326,0.027078527957201004,0.02707361988723278,0.027053073048591614,0.027011848986148834,0.027073659002780914,0.027067555114626884,0.02712143026292324,0.02712574042379856,0.027001550421118736,0.027069702744483948,0.026962263509631157,0.02703234553337097,0.02715834230184555,0.027180882170796394,0.02728588506579399,0.027241718024015427,0.027307845652103424,0.027321653440594673,0.02736041136085987,0.027352306991815567
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,
Time,17:58:38,17:58:38,17:58:38,17:58:38,17:58:39,17:58:39,17:58:39,17:58:39,17:58:40,17:58:40,17:58:40,17:58:40,17:58:41,17:58:41,17:58:41,17:58:41,17:58:42,17:58:42,17:58:42,17:58:42,17:58:43,17:58:43,17:58:43,17:58:43,17:58:44,17:58:44,17:58:44,17:58:44,17:58:45,17:58:45,17:58:45,17:58:45,17:58:46,17:58:46,17:58:46,17:58:46,17:58:47,17:58:47,17:58:47,17:58:47,17:58:48,17:58:48,17:58:48,17:58:48,17:58:49,17:58:49,17:58:49,17:58:49,17:58:50,17:58:50,17:58:50,17:58:50,17:58:51,17:58:51,17:58:51,17:58:51,17:58:52,17:58:52,17:58:52,17:58:52,17:58:53,17:58:53,17:58:53,17:58:53,17:58:53,17:58:53,17:58:53,17:58:53,17:58:53,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:54,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:55,17:58:56,17:58:56,17:58:56,17:58:56,17:58:56
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
