,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
FR_Start,GMT,18:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,18:07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8834228515625,998.8489379882812,998.8759765625,998.8853759765625,998.885986328125,998.843017578125,998.8499145507812,998.8611450195312,998.8627319335938,998.8828735351562,998.8499145507812,998.8605346679688,998.8605346679688,998.8797607421875,998.8539428710938,998.8822631835938,998.8480224609375,998.8822631835938,998.8756103515625,998.8505249023438,998.8466796875,998.8878784179688,998.8599853515625,998.843017578125,998.8630981445312,998.85302734375,998.885986328125,998.8502197265625,998.8687133789062,998.8505249023438,998.8671875,998.84521484375,998.8671875,998.8687133789062,998.8668823242188,998.8486328125,998.8677978515625,998.8458251953125,998.8511352539062,998.84326171875,998.8642578125,998.8715209960938,998.8642578125,998.8533325195312,998.87841796875,998.8884887695312,998.8844604492188,998.8489379882812,998.8662109375,998.8589477539062,998.8555297851562,998.850830078125,998.8790893554688,998.8759765625,998.8592529296875,998.8621826171875,998.8489379882812,998.8539428710938,998.8674926757812,998.8831787109375,998.882568359375,998.864013671875,998.8480224609375,998.8800048828125,998.8442993164062,998.849609375,998.8693237304688,998.8439331054688,998.8439331054688,998.8771362304688,998.8743286132812,998.8844604492188,998.843017578125,998.8446044921875,998.857421875,998.85498046875,998.8674926757812,998.8652954101562,998.8853759765625,998.8583984375,998.8595581054688,998.8831787109375,998.8568725585938,998.8787231445312,998.8577270507812,998.8853759765625,998.8471069335938,998.86083984375,998.8502197265625,998.8709106445312,998.8897705078125,998.8602905273438,998.8480224609375,998.8809814453125,998.8790893554688,998.8602905273438,998.8740234375,998.8818359375,998.8840942382812,998.8687133789062,998.8853759765625,998.8505249023438,998.8794555664062,998.8646850585938,998.8787231445312,998.8436279296875,998.8693237304688,998.8887939453125,998.884765625,998.8740234375,998.8712158203125,998.876220703125,998.8458251953125,998.88818359375,998.8592529296875,998.843017578125,998.8884887695312,998.8637084960938,998.8589477539062,998.8477172851562,998.8630981445312,998.885986328125,998.8734130859375,998.864013671875,998.8634033203125,998.8662109375,998.8856811523438,998.8740234375,998.8696899414062,998.8759765625,998.87060546875,998.864990234375,998.8571166992188,998.87841796875,998.8662109375,998.8446044921875,998.868408203125,998.8884887695312,998.8731079101562,998.87060546875,998.8721923828125,998.8466796875,998.8671875,998.8737182617188,998.8781127929688,998.889404296875
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0164041995,-0.0262467192,-0.0164041995,-0.0098425197,-0.0098425197,-0.0131233596,-0.0131233596,-0.0196850394,-0.0360892389,-0.05577427830000001,-0.0721784778,-0.0853018374,-0.09514435710000001,-0.1049868768,-0.11482939650000001,-0.1279527561,-0.1476377955,-0.16404199500000002,-0.18044619450000002,-0.2001312339,-0.21653543340000003,-0.2362204728,-0.2526246723,-0.2723097117,-0.2887139112,-0.2985564309,-0.3083989506,-0.3182414703,-0.3346456698,-0.3510498693,-0.36089238900000004,-0.37401574860000003,-0.38713910819999997,-0.38713910819999997,-0.4166666673,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006,-0.4757217855,-0.4757217855,-0.4855643052,-0.4855643052,-0.4855643052,-0.5183727042,-0.5183727042,-0.5183727042,-0.5314960638,-0.5314960638,-0.5643044628,-0.5643044628,-0.5643044628,-0.5839895022,-0.5839895022,-0.5839895022,-0.6069553815000001,-0.6069553815000001,-0.6003937017000001,-0.6003937017000001,-0.6003937017000001,-0.5971128618,-0.5971128618,-0.5118110244,-0.5118110244,-0.5118110244,-0.19028871420000001,-0.19028871420000001,-0.065616798,-0.065616798,-0.065616798,0.0098425197,0.0098425197,0.0098425197,0.0623359581,0.0623359581,0.1017060369,0.1017060369,0.1017060369,0.1181102364,0.1181102364,0.131233596,0.131233596,0.131233596,0.1541994753,0.1541994753,0.1738845147,0.1738845147,0.1738845147,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.2099737536,0.2099737536,0.2460629925,0.2460629925,0.2460629925,0.2788713915,0.2788713915,0.3018372708,0.3018372708,0.3018372708,0.33136482990000005,0.33136482990000005,0.3444881895,0.3444881895,0.3444881895,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.36745406880000003,0.36745406880000003,0.37073490870000003,0.37073490870000003,0.37073490870000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.37073490870000003,0.37073490870000003,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.33136482990000005,0.33136482990000005,0.1213910763,0.1213910763,0.1213910763,0.032808399,0.032808399,0.032808399,-0.0131233596,-0.0131233596,-0.0295275591,-0.0295275591,-0.0295275591,-0.045931758600000004,-0.045931758600000004,-0.0623359581,-0.0623359581,-0.0623359581,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001,-0.08202099750000001
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.026483971625566483,0.026596641167998314,0.02692512795329094,0.026590662077069283,0.026877963915467262,0.026573939248919487,0.02691824920475483,0.02668048068881035,0.027000179514288902,0.026642637327313423,0.026996713131666183,0.02666657790541649,0.0266982764005661,0.026505030691623688,0.026628589257597923,0.026461169123649597,0.02685798518359661,0.026569081470370293,0.02693912200629711,0.02670164220035076,0.027048207819461823,0.026797132566571236,0.027069438248872757,0.026825275272130966,0.027167996391654015,0.026834266260266304,0.027135714888572693,0.026852836832404137,0.02719718962907791,0.02689102664589882,0.027250565588474274,0.026941392570734024,0.027129728347063065,0.027129728347063065,0.027097798883914948,0.026903226971626282,0.026903226971626282,0.026903226971626282,0.026903226971626282,0.02712223120033741,0.02712223120033741,0.027086365967988968,0.027086365967988968,0.027086365967988968,0.02720833383500576,0.02720833383500576,0.02720833383500576,0.027315005660057068,0.027315005660057068,0.026968810707330704,0.026968810707330704,0.026968810707330704,0.026882916688919067,0.026882916688919067,0.026882916688919067,0.026917768642306328,0.026917768642306328,0.026840321719646454,0.026840321719646454,0.026840321719646454,0.026805248111486435,0.026805248111486435,0.026901833713054657,0.026901833713054657,0.026901833713054657,0.027072763070464134,0.027072763070464134,0.02725573256611824,0.02725573256611824,0.02725573256611824,0.02693067118525505,0.02693067118525505,0.02693067118525505,0.026900675147771835,0.026900675147771835,0.026971209794282913,0.026971209794282913,0.026971209794282913,0.026783933863043785,0.026783933863043785,0.026719428598880768,0.026719428598880768,0.026719428598880768,0.02673744037747383,0.02673744037747383,0.02673744037747383,0.026829713955521584,0.026829713955521584,0.026948878541588783,0.026948878541588783,0.026948878541588783,0.026631103828549385,0.026631103828549385,0.02662571519613266,0.02662571519613266,0.02662571519613266,0.026737716048955917,0.026737716048955917,0.026696665212512016,0.026696665212512016,0.026696665212512016,0.026493357494473457,0.026493357494473457,0.026454739272594452,0.026454739272594452,0.026454739272594452,0.02654208429157734,0.02654208429157734,0.02654208429157734,0.026716448366642,0.026716448366642,0.026389792561531067,0.026389792561531067,0.026389792561531067,0.026397863402962685,0.026397863402962685,0.026548517867922783,0.026548517867922783,0.026548517867922783,0.026548387482762337,0.026548387482762337,0.026312673464417458,0.026312673464417458,0.026312673464417458,0.02655291184782982,0.02655291184782982,0.02655291184782982,0.026830492541193962,0.026830492541193962,0.02698870562016964,0.02698870562016964,0.02698870562016964,0.026803135871887207,0.026803135871887207,0.02681148052215576,0.02681148052215576,0.02681148052215576,0.026945602148771286,0.026945602148771286,0.027028577402234077,0.027028577402234077,0.027028577402234077,0.026778344064950943,0.026778344064950943,0.026778344064950943,0.02691558562219143
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
