,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
FR_Start,GMT,21:44:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:45:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8442993164062,998.8840942382812,998.8580932617188,998.8778686523438,998.8646850585938,998.8900756835938,998.8765258789062,998.8502197265625,998.8884887695312,998.8856811523438,998.8483276367188,998.843017578125,998.8746948242188,998.882568359375,998.8781127929688,998.87255859375,998.8768310546875,998.8677978515625,998.8461303710938,998.8703002929688,998.8775634765625,998.8743286132812,998.8502197265625,998.8446044921875,998.8709106445312,998.8840942382812,998.8797607421875,998.8652954101562,998.8527221679688,998.8652954101562,998.8831787109375,998.8502197265625,998.8812866210938,998.8768310546875,998.87060546875,998.8781127929688,998.8712158203125,998.8656005859375,998.8618774414062,998.8514404296875,998.8458251953125,998.87841796875,998.8797607421875,998.8630981445312,998.8703002929688,998.8800048828125,998.884765625,998.8690185546875,998.8568725585938,998.8658447265625,998.8642578125,998.8618774414062,998.8740234375,998.8642578125,998.8862915039062,998.8514404296875,998.8589477539062,998.8555297851562,998.8743286132812,998.882568359375,998.8837890625,998.8486328125,998.8483276367188,998.8872680664062,998.8812866210938,998.843017578125,998.8837890625,998.8837890625,998.8521118164062,998.8809814453125,998.8595581054688,998.8809814453125,998.8634033203125,998.8448486328125,998.8668823242188,998.8768310546875,998.8790893554688,998.8865966796875,998.8427124023438,998.8517456054688,998.876220703125,998.8671875,998.8546142578125,998.8561401367188,998.875,998.8627319335938,998.84521484375,998.855224609375,998.8803100585938,998.8458251953125,998.8671875,998.8696899414062,998.8800048828125,998.8693237304688,998.8489379882812,998.868408203125,998.8602905273438,998.8746948242188,998.8712158203125,998.864013671875,998.8489379882812,998.8637084960938,998.885986328125,998.8815307617188,998.8715209960938,998.8690185546875,998.8890991210938,998.85302734375,998.849609375,998.8856811523438,998.8681030273438,998.8856811523438,998.8630981445312,998.8887939453125,998.8721923828125,998.864990234375
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.2559055122,-0.1541994753,-0.18044619450000002,-0.18044619450000002,-0.18044619450000002,-0.2132545935,-0.2132545935,-0.2427821526,-0.2427821526,-0.262467192,-0.262467192,-0.262467192,-0.2985564309,-0.2985564309,-0.32480315010000005,-0.32480315010000005,-0.32480315010000005,-0.35433070920000004,-0.35433070920000004,-0.4002624678,-0.4002624678,-0.4002624678,-0.4297900269,-0.4297900269,-0.44291338650000006,-0.44291338650000006,-0.44291338650000006,-0.45931758600000006,-0.45931758600000006,-0.4724409456,-0.4724409456,-0.4724409456,-0.4954068249,-0.4954068249,-0.4954068249,-0.5183727042,-0.5183727042,-0.5413385835000001,-0.5413385835000001,-0.5413385835000001,-0.5511811032,-0.5511811032,-0.5610236229000001,-0.5610236229000001,-0.5610236229000001,-0.5708661426,-0.5708661426,-0.590551182,-0.590551182,-0.590551182,-0.2329396329,-0.2329396329,-0.2329396329,-0.0787401576,-0.0787401576,0.0,0.0,0.0,0.0360892389,0.0360892389,0.05577427830000001,0.05577427830000001,0.065616798,0.065616798,0.065616798,0.08858267730000001,0.08858267730000001,0.08858267730000001,0.10826771670000002,0.10826771670000002,0.1181102364,0.1181102364,0.1181102364,0.1345144359,0.1345144359,0.1476377955,0.1476377955,0.1476377955,0.16076115510000002,0.16076115510000002,0.1673228349,0.1673228349,0.1673228349,0.18372703440000002,0.18372703440000002,0.2001312339,0.2001312339,0.2001312339,0.2395013127,0.2395013127,0.2690288718,0.2690288718,0.2690288718,0.2690288718,0.2690288718,0.2526246723,0.2526246723,0.2526246723,0.2493438324,0.2493438324,0.2559055122,0.2559055122,0.2559055122,0.2591863521,0.2591863521,0.2559055122,0.2559055122,0.2559055122,0.2690288718,0.196850394,0.131233596,0.09514435710000001,0.0721784778,0.065616798,0.0590551182,0.0623359581
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.015033156611025333,0.00940115749835968,0.008884971961379051,0.008884971961379051,0.008884971961379051,0.008387861773371696,0.008387861773371696,0.007608428597450256,0.007608428597450256,0.0070208292454481125,0.0070208292454481125,0.0070208292454481125,0.006379819009453058,0.006379819009453058,0.00591295724734664,0.00591295724734664,0.00591295724734664,0.0052507719956338406,0.0052507719956338406,0.004677080549299717,0.004677080549299717,0.004677080549299717,0.004038313869386911,0.004038313869386911,0.0035539199598133564,0.0035539199598133564,0.0035539199598133564,0.0029402808286249638,0.0029402808286249638,0.0024204005021601915,0.0024204005021601915,0.0024204005021601915,0.0018310162704437971,0.0018310162704437971,0.0018310162704437971,0.0014200365403667092,0.0014200365403667092,0.0009072410757653415,0.0009072410757653415,0.0009072410757653415,0.0004140462551731616,0.0004140462551731616,0.000352711183950305,0.000352711183950305,0.000352711183950305,0.0006924686604179442,0.0006924686604179442,0.0011177785927429795,0.0011177785927429795,0.0011177785927429795,0.0015305131673812866,0.0015305131673812866,0.0015305131673812866,0.001991380238905549,0.001991380238905549,0.0023807461839169264,0.0023807461839169264,0.0023807461839169264,0.0028892825357615948,0.0028892825357615948,0.0033435013610869646,0.0033435013610869646,0.003773719072341919,0.003773719072341919,0.003773719072341919,0.0040442016907036304,0.0040442016907036304,0.0040442016907036304,0.00445318641141057,0.00445318641141057,0.004825719632208347,0.004825719632208347,0.004825719632208347,0.005133109632879496,0.005133109632879496,0.005404703319072723,0.005404703319072723,0.005404703319072723,0.005765674170106649,0.005765674170106649,0.006062897387892008,0.006062897387892008,0.006062897387892008,0.006446069572120905,0.006446069572120905,0.006799420807510614,0.006799420807510614,0.006799420807510614,0.007200323045253754,0.007200323045253754,0.007606107275933027,0.007606107275933027,0.007606107275933027,0.007909106090664864,0.007909106090664864,0.008280621841549873,0.008280621841549873,0.008280621841549873,0.008527934551239014,0.008527934551239014,0.008776399306952953,0.008776399306952953,0.008776399306952953,0.009157984517514706,0.009157984517514706,0.009454314596951008,0.009454314596951008,0.009454314596951008,0.00976622011512518,0.009868884459137917,0.009984328411519527,0.010045571252703667,0.010138108395040035,0.010268867947161198,0.010445413179695606,0.01055845245718956
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,21:44:46,21:44:46,21:44:46,21:44:46,21:44:47,21:44:47,21:44:47,21:44:47,21:44:48,21:44:48,21:44:48,21:44:48,21:44:49,21:44:49,21:44:49,21:44:49,21:44:50,21:44:50,21:44:50,21:44:50,21:44:51,21:44:51,21:44:51,21:44:51,21:44:52,21:44:52,21:44:52,21:44:52,21:44:53,21:44:53,21:44:53,21:44:53,21:44:54,21:44:54,21:44:54,21:44:54,21:44:55,21:44:55,21:44:55,21:44:55,21:44:56,21:44:56,21:44:56,21:44:56,21:44:57,21:44:57,21:44:57,21:44:57,21:44:58,21:44:58,21:44:58,21:44:58,21:44:59,21:44:59,21:44:59,21:44:59,21:45:00,21:45:00,21:45:00,21:45:00,21:45:01,21:45:01,21:45:01,21:45:01,21:45:02,21:45:02,21:45:02,21:45:02,21:45:02,21:45:02,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:03,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:04,21:45:05,21:45:05,21:45:05,21:45:05,21:45:06,21:45:06,21:45:06,21:45:06,21:45:07,21:45:07,21:45:07,21:45:07,21:45:08,21:45:08,21:45:08,21:45:08,21:45:09,21:45:09,21:45:09,21:45:09,21:45:10,21:45:10,21:45:10,21:45:10,21:45:11,21:45:11
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,20/07/2022,"July 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
