,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
FR_Start,GMT,22:59:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:59:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8756103515625,998.8897705078125,998.8834228515625,998.864990234375,998.8646850585938,998.8602905273438,998.84521484375,998.8605346679688,998.858642578125,998.8571166992188,998.884765625,998.87060546875,998.87060546875,998.8794555664062,998.8768310546875,998.8511352539062,998.8618774414062,998.8521118164062,998.8558349609375,998.864013671875,998.8800048828125,998.8831787109375,998.8568725585938,998.8630981445312,998.8533325195312,998.8690185546875,998.8536376953125,998.8489379882812,998.8790893554688,998.8681030273438,998.8555297851562,998.8521118164062,998.8555297851562,998.8634033203125,998.8803100585938,998.8480224609375,998.8555297851562,998.864990234375,998.8844604492188,998.88818359375,998.8668823242188,998.8521118164062,998.8446044921875,998.8427124023438,998.8662109375,998.8618774414062,998.8658447265625,998.8815307617188,998.8483276367188,998.871826171875,998.8890991210938,998.8589477539062,998.8561401367188,998.8634033203125,998.8539428710938,998.8446044921875,998.8778686523438,998.8887939453125,998.8439331054688,998.8875732421875,998.858642578125,998.8765258789062,998.872802734375,998.8665161132812,998.8599853515625,998.8466796875,998.85302734375,998.8753051757812,998.850830078125,998.8771362304688,998.8815307617188,998.8514404296875,998.8734130859375,998.8668823242188,998.8539428710938,998.8850708007812,998.864013671875,998.8493041992188,998.8480224609375,998.8890991210938,998.8589477539062,998.858642578125,998.8480224609375,998.8699951171875,998.8677978515625,998.8671875,998.85498046875,998.8781127929688,998.8809814453125,998.8887939453125,998.864990234375,998.8674926757812,998.84326171875,998.8806762695312,998.8565673828125,998.8489379882812,998.8872680664062,998.876220703125,998.8592529296875,998.8448486328125,998.8618774414062,998.8514404296875,998.8442993164062,998.864013671875,998.8837890625,998.8768310546875,998.8862915039062,998.8715209960938,998.868408203125,998.8746948242188,998.8489379882812
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.0196850394,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.0196850394,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0262467192,0.0262467192,0.0262467192,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0262467192,0.0262467192,0.0262467192,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.032808399,0.0360892389,0.0360892389,0.0360892389,0.0360892389,0.0393700788,0.0393700788,0.0393700788,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0524934384,0.0524934384,0.0524934384,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.0524934384,0.0524934384,0.0524934384,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0492125985,0.0492125985
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02743632160127163,0.02761096879839897,0.0274517722427845,0.0274517722427845,0.0274517722427845,0.027623556554317474,0.027623556554317474,0.027623556554317474,0.027403313666582108,0.027403313666582108,0.027403313666582108,0.027403313666582108,0.02766485884785652,0.02766485884785652,0.02766485884785652,0.027463587000966072,0.027463587000966072,0.027463587000966072,0.027463587000966072,0.027670999988913536,0.027670999988913536,0.027670999988913536,0.027459455654025078,0.027459455654025078,0.02767755277454853,0.02767755277454853,0.02767755277454853,0.02767755277454853,0.027437081560492516,0.027437081560492516,0.027437081560492516,0.027437081560492516,0.027695704251527786,0.027695704251527786,0.027695704251527786,0.027311403304338455,0.027311403304338455,0.027311403304338455,0.02760958857834339,0.02760958857834339,0.02760958857834339,0.02760958857834339,0.02731333300471306,0.02731333300471306,0.02731333300471306,0.027668748050928116,0.027668748050928116,0.027668748050928116,0.02749156951904297,0.02749156951904297,0.02749156951904297,0.02749156951904297,0.027813632041215897,0.027813632041215897,0.027813632041215897,0.02763623744249344,0.02763623744249344,0.02763623744249344,0.02763623744249344,0.02763623744249344,0.027897192165255547,0.027897192165255547,0.027897192165255547,0.027710415422916412,0.027710415422916412,0.027710415422916412,0.027710415422916412,0.027928780764341354,0.027928780764341354,0.027928780764341354,0.027767062187194824,0.027767062187194824,0.027767062187194824,0.02801438421010971,0.02801438421010971,0.02801438421010971,0.02801438421010971,0.02801438421010971,0.027767552062869072,0.027767552062869072,0.027767552062869072,0.027967749163508415,0.027967749163508415,0.027967749163508415,0.02777797169983387,0.02777797169983387,0.02777797169983387,0.02777797169983387,0.027971575036644936,0.027971575036644936,0.027971575036644936,0.027782017365098,0.027782017365098,0.027782017365098,0.027782017365098,0.027782017365098,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.028019659221172333,0.027866432443261147,0.027866432443261147
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:59:30,22:59:30,22:59:31,22:59:31,22:59:31,22:59:31,22:59:32,22:59:32,22:59:32,22:59:32,22:59:33,22:59:33,22:59:33,22:59:33,22:59:33,22:59:33,22:59:33,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:34,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:35,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:36,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:37,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:38,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:39,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:40,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:41,22:59:42,22:59:42,22:59:42,22:59:42,22:59:42,22:59:42,22:59:42,22:59:43,22:59:43,22:59:43,22:59:43,22:59:44,22:59:44,22:59:44
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
