,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
FR_Start,GMT,17:53:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:54:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.0360892389,0.0360892389,0.0426509187,0.0426509187,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0492125985,0.0492125985,0.0590551182,0.0590551182,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.098425197,0.098425197,0.1181102364,0.1181102364,0.1181102364,0.1345144359,0.1345144359,0.1345144359,0.1279527561,0.1279527561,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1246719162,0.1246719162,0.1246719162,0.1574803152,0.1574803152,0.1574803152,0.18372703440000002,0.18372703440000002,0.2034120738,0.2034120738,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.0754593177,0.0754593177,0.0754593177,0.0721784778,0.0721784778,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.1279527561,0.1279527561,0.1738845147,0.1738845147,0.1738845147,0.21653543340000003,0.21653543340000003,0.2493438324
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02764168567955494,0.027580056339502335,0.02754007838666439,0.02754007838666439,0.027307648211717606,0.027307648211717606,0.027307648211717606,0.027449412271380424,0.027449412271380424,0.027671074494719505,0.027671074494719505,0.02789795957505703,0.02789795957505703,0.02789795957505703,0.02759876288473606,0.02759876288473606,0.02752022258937359,0.02752022258937359,0.02752022258937359,0.027624646201729774,0.027624646201729774,0.027624646201729774,0.02759678289294243,0.02759678289294243,0.027250057086348534,0.027250057086348534,0.027250057086348534,0.027397846803069115,0.027397846803069115,0.027550339698791504,0.027550339698791504,0.027835313230752945,0.027835313230752945,0.027835313230752945,0.027514679357409477,0.027514679357409477,0.027449240908026695,0.027449240908026695,0.027449240908026695,0.027499627321958542,0.027499627321958542,0.027499627321958542,0.027674874290823936,0.027674874290823936,0.027173276990652084,0.027173276990652084,0.027173276990652084,0.02716369926929474,0.02716369926929474,0.02755442075431347,0.02755442075431347,0.02755442075431347,0.02783583290874958,0.02783583290874958,0.027534713968634605,0.027534713968634605,0.027534713968634605,0.02748480811715126,0.02748480811715126,0.02758030779659748,0.02758030779659748,0.02758030779659748,0.027817081660032272,0.027817081660032272,0.027364296838641167
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,17:53:50,17:53:50,17:53:50,17:53:51,17:53:51,17:53:51,17:53:51,17:53:52,17:53:52,17:53:52,17:53:52,17:53:53,17:53:53,17:53:53,17:53:53,17:53:54,17:53:54,17:53:54,17:53:54,17:53:55,17:53:55,17:53:55,17:53:55,17:53:56,17:53:56,17:53:56,17:53:56,17:53:57,17:53:57,17:53:57,17:53:57,17:53:58,17:53:58,17:53:58,17:53:58,17:53:59,17:53:59,17:53:59,17:53:59,17:54:00,17:54:00,17:54:00,17:54:00,17:54:01,17:54:01,17:54:01,17:54:01,17:54:02,17:54:02,17:54:02,17:54:02,17:54:03,17:54:03,17:54:03,17:54:03,17:54:04,17:54:04,17:54:04,17:54:04,17:54:05,17:54:05,17:54:05,17:54:05,17:54:06,17:54:06
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
