,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
FR_Start,GMT,00:01:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,00:01:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.87255859375,998.8642578125,998.8466796875,998.8775634765625,998.876220703125,998.8693237304688,998.8446044921875,998.849609375,998.855224609375,998.8536376953125,998.843017578125,998.8565673828125,998.854248046875,998.8502197265625,998.846435546875,998.8840942382812,998.8712158203125,998.8734130859375,998.8477172851562,998.858642578125,998.8768310546875,998.876220703125,998.8869018554688,998.8693237304688,998.8480224609375,998.8850708007812,998.8592529296875,998.88818359375,998.8790893554688,998.849609375,998.8699951171875,998.8446044921875,998.8840942382812,998.8652954101562,998.8740234375,998.864990234375,998.8831787109375,998.8471069335938,998.8546142578125,998.8671875,998.8794555664062,998.8790893554688,998.8480224609375,998.8765258789062,998.8555297851562,998.8466796875,998.8775634765625,998.8778686523438,998.8794555664062,998.8759765625,998.8502197265625,998.8765258789062,998.8511352539062,998.8652954101562,998.8658447265625,998.8759765625,998.8592529296875,998.8458251953125,998.8890991210938,998.8471069335938,998.8790893554688,998.868408203125,998.8565673828125,998.8696899414062,998.8812866210938,998.864013671875,998.8642578125,998.8856811523438,998.8458251953125,998.8794555664062,998.8712158203125,998.8502197265625,998.8687133789062,998.8558349609375,998.8690185546875,998.8712158203125,998.8471069335938,998.8656005859375,998.8887939453125,998.8458251953125,998.8734130859375,998.8511352539062
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.0360892389,-0.1049868768,-0.1017060369,-0.098425197,-0.098425197,-0.0853018374,-0.0853018374,-0.0853018374,-0.0393700788,-0.0393700788,-0.0393700788,-0.022965879300000002,-0.022965879300000002,-0.022965879300000002,-0.022965879300000002,-0.0032808399,-0.0032808399,-0.0032808399,0.0,0.0,0.0,0.0,0.0131233596,0.0131233596,0.0131233596,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0853018374,0.0853018374,0.0853018374,0.098425197,0.098425197,0.098425197,0.098425197,0.1181102364,0.1181102364,0.1181102364,0.1541994753,0.1541994753,0.1541994753,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.2132545935,0.2132545935,0.2132545935,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.22309711320000003,0.22309711320000003,0.22309711320000003,0.2329396329,0.2329396329,0.2329396329,0.2329396329,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.2493438324,0.2493438324,0.2493438324,0.2493438324,0.2657480319,0.2657480319,0.2657480319,0.2788713915,0.2788713915,0.2788713915,0.2788713915,0.2854330713
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027062902227044106,0.02752840518951416,0.02749272994697094,0.02760353870689869,0.02760353870689869,0.027517778798937798,0.027517778798937798,0.027517778798937798,0.02774040214717388,0.02774040214717388,0.02774040214717388,0.02799195423722267,0.02799195423722267,0.02799195423722267,0.02799195423722267,0.027602242305874825,0.027602242305874825,0.027602242305874825,0.02765166014432907,0.02765166014432907,0.02765166014432907,0.02765166014432907,0.028001323342323303,0.028001323342323303,0.028001323342323303,0.028209732845425606,0.028209732845425606,0.028209732845425606,0.028209732845425606,0.027922378852963448,0.027922378852963448,0.027922378852963448,0.027803078293800354,0.027803078293800354,0.027803078293800354,0.027803078293800354,0.027966246008872986,0.027966246008872986,0.027966246008872986,0.02808503620326519,0.02808503620326519,0.02808503620326519,0.02762388251721859,0.02762388251721859,0.02762388251721859,0.02762388251721859,0.02755960449576378,0.02755960449576378,0.02755960449576378,0.027817538008093834,0.027817538008093834,0.027817538008093834,0.027817538008093834,0.02802000753581524,0.02802000753581524,0.02802000753581524,0.027672970667481422,0.027672970667481422,0.027672970667481422,0.027672970667481422,0.02759847417473793,0.02759847417473793,0.02759847417473793,0.027713125571608543,0.027713125571608543,0.027713125571608543,0.027713125571608543,0.02786230482161045,0.02786230482161045,0.02786230482161045,0.027543174102902412,0.027543174102902412,0.027543174102902412,0.027543174102902412,0.02735722064971924,0.02735722064971924,0.02735722064971924,0.027570679783821106,0.027570679783821106,0.027570679783821106,0.027570679783821106,0.027834095060825348
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,00:01:38,00:01:38,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:40,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:41,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:43,00:01:43,00:01:43,00:01:43,00:01:43,00:01:43,00:01:43,00:01:43,00:01:44,00:01:44,00:01:44,00:01:44,00:01:45,00:01:45,00:01:45,00:01:45,00:01:46,00:01:46,00:01:46,00:01:46,00:01:47,00:01:47,00:01:47,00:01:47,00:01:48,00:01:48,00:01:48,00:01:48,00:01:49,00:01:49,00:01:49,00:01:49,00:01:50,00:01:50,00:01:50,00:01:50,00:01:51,00:01:51,00:01:51,00:01:51
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
